locus_tag,state,TB.state,TY.state,GR.state,ICE.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ins_index.WTES,ins_index.WTTB,ins_index.WTTY,ins_index.WTGR,ins_index.NSES,ins_index.NSTB,ins_index.NSTY,ins_index.NSGR
R7A2020_00055,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,I,beta-ketoacyl-ACP synthase I,K00647,3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],fabB,IQ,Belongs to the beta-ketoacyl-ACP synthases family,fabB,8903,10123,1221,1,0,0,0,0,0.001,0,0,0
R7A2020_00060,NE,NE,NE,NE,NA,NA,enoyl-ACP reductase FabI,K00208,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],fabI,I,Enoyl- acyl-carrier-protein reductase NADH,fabI,10155,10958,804,1,0.156,0.073,0.047,0.037,0.165,0.075,0.047,0.056
R7A2020_00065,NE,NE,NE,NE,NA,NA,bifunctional diguanylate cyclase/phosphodiesterase,K21023,diguanylate cyclase [EC:2.7.7.65],NA,T,Putative diguanylate phosphodiesterase,R7A2020_00065,11114,12658,1545,1,0.129,0.062,0.04,0.027,0.152,0.072,0.041,0.043
R7A2020_00070,NE,NE,NE,NE,NA,NA,class I SAM-dependent methyltransferase,K00564,16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172],rsmC,J,methyltransferase small,R7A2020_00070,12664,13674,1011,-1,0.135,0.066,0.045,0.038,0.165,0.078,0.045,0.035
R7A2020_00075,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,polyribonucleotide nucleotidyltransferase,K00962,polyribonucleotide nucleotidyltransferase [EC:2.7.7.8],pnp,J,Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction,pnp,13800,15947,2148,-1,0.001,0.001,0,0,0.004,0.002,0.001,0
R7A2020_00080,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,30S ribosomal protein S15,K02956,small subunit ribosomal protein S15,rpsO,J,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome,rpsO,16357,16626,270,-1,0.004,0,0,0,0.004,0.004,0,0
R7A2020_00085,NE,NE,NE,NE,NA,NA,magnesium/cobalt transporter CorA,K03284,magnesium transporter,corA,P,Mediates influx of magnesium ions,corA,16808,17902,1095,-1,0.175,0.074,0.068,0.033,0.167,0.07,0.048,0.052
R7A2020_00090,NE,NE,NE,NE,NA,NA,tRNA pseudouridine(55) synthase TruB,K03177,tRNA pseudouridine55 synthase [EC:5.4.99.25],truB,J,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs,truB,17947,18924,978,-1,0.114,0.059,0.036,0.024,0.124,0.05,0.035,0.036
R7A2020_00095,NE,NE,NE,GR-GD,NA,J,30S ribosome-binding factor RbfA,K02834,ribosome-binding factor A,rbfA,J,One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA,rbfA,18924,19379,456,-1,0.136,0.072,0.049,0.021,0.131,0.062,0.044,0.013
R7A2020_00100,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,translation initiation factor IF-2,K02519,translation initiation factor IF-2,infB,J,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex,infB,19554,22136,2583,-1,0.001,0,0,0.001,0.001,0,0,0
R7A2020_00105,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,K,RNA-binding protein,K07742,uncharacterized protein,ylxR,K,Protein of unknown function (DUF448),R7A2020_00105,22133,22783,651,-1,0.013,0.009,0.002,0.002,0.022,0.013,0.004,0
R7A2020_00110,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,K,transcription termination/antitermination protein NusA,K02600,transcription termination/antitermination protein NusA,nusA,K,Participates in both transcription termination and antitermination,nusA,22822,24417,1596,-1,0.015,0.007,0.004,0,0.015,0.008,0.002,0
R7A2020_00115,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,ribosome maturation factor RimP,K09748,ribosome maturation factor RimP,rimP,S,Required for maturation of 30S ribosomal subunits,rimP,24467,25114,648,-1,0.014,0.007,0.007,0,0.024,0.009,0.002,0.004
R7A2020_00120,NE,NE,NE,GR-ES,NA,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00120,25401,25565,165,1,0.142,0.078,0.028,0.007,0.106,0.035,0.05,0.014
R7A2020_00125,NE,NE,NE,NE,NA,NA,tRNA (guanosine(46)-N7)-methyltransferase TrmB,K03439,tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33],trmB,J,Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA,trmB,25589,26290,702,-1,0.157,0.077,0.065,0.035,0.176,0.08,0.047,0.037
R7A2020_00130,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,H,methionine adenosyltransferase,K00789,S-adenosylmethionine synthetase [EC:2.5.1.6],metK,H,"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme",R7A2020_00130,26316,27581,1266,-1,0.005,0,0.003,0,0.002,0,0,0
R7A2020_00135,NE,NE,NE,NE,NA,NA,helix-turn-helix transcriptional regulator,NA,NA,MA20_23890,K,transcriptional,R7A2020_00135,27750,28169,420,-1,0.073,0.02,0.045,0.022,0.078,0.025,0.02,0.025
R7A2020_00140,NE,NE,NE,NE,NA,NA,apolipoprotein N-acyltransferase,K03820,apolipoprotein N-acyltransferase [EC:2.3.1.269],lnt,M,Transfers the fatty acyl group on membrane lipoproteins,lnt,28308,29900,1593,-1,0.126,0.049,0.03,0.035,0.106,0.048,0.021,0.03
R7A2020_00145,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR substrate binding domain,R7A2020_00145,30081,31025,945,-1,0.209,0.103,0.077,0.044,0.195,0.078,0.06,0.065
R7A2020_00150,NE,NE,NE,NE,NA,NA,SDR family oxidoreductase,NA,NA,NA,IQ,KR domain,R7A2020_00150,31126,31887,762,1,0.188,0.093,0.071,0.039,0.21,0.102,0.052,0.063
R7A2020_00155,NE,NE,NE,NE,NA,NA,glyoxalase,NA,NA,NA,S,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_00155,31913,32383,471,-1,0.175,0.085,0.065,0.06,0.177,0.082,0.08,0.057
R7A2020_00160,NE,NE,NE,NE,NA,NA,HlyC/CorC family transporter,NA,NA,tlyC,S,COG1253 Hemolysins and related proteins containing CBS domains,R7A2020_00160,32397,33473,1077,-1,0.184,0.093,0.057,0.039,0.23,0.104,0.074,0.053
R7A2020_00165,GD,TB-GD,TY-ES,GR-ES,NA,J,rRNA maturation RNase YbeY,K07042,probable rRNA maturation factor,ybeY,J,Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA,ybeY,33501,34001,501,-1,0.038,0.014,0.002,0.005,0.077,0.031,0.014,0.007
R7A2020_00170,NE,NE,NE,NE,NA,NA,PhoH family protein,K06217,phosphate starvation-inducible protein PhoH and related proteins,phoH,T,Phosphate starvation-inducible protein PhoH,R7A2020_00170,34020,35069,1050,-1,0.189,0.091,0.066,0.037,0.198,0.102,0.048,0.057
R7A2020_00175,NE,NE,NE,NE,NA,NA,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,K06168,tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3],miaB,J,"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine",miaB,35096,36505,1410,-1,0.191,0.082,0.069,0.043,0.212,0.098,0.053,0.068
R7A2020_00180,NE,NE,NE,NE,NA,NA,1-acyl-sn-glycerol-3-phosphate acyltransferase,K22617,lyso-ornithine lipid O-acyltransferase [EC:2.3.1.270],plsC,I,Acyltransferase,R7A2020_00180,36582,37382,801,-1,0.163,0.059,0.063,0.047,0.178,0.072,0.059,0.048
R7A2020_00185,NE,NE,NE,NE,NA,NA,ribosomal protein S18-alanine N-acetyltransferase,K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],rimI,K,FR47-like protein,rimI,37410,37904,495,-1,0.178,0.062,0.071,0.04,0.192,0.059,0.076,0.059
R7A2020_00190,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,O,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,K14742,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,yeaZ,O,Peptidase M22 glycoprotease,tsaB,37904,38581,678,-1,0.002,0,0,0.002,0.003,0,0.002,0
R7A2020_00195,NE,NE,NE,NE,NA,NA,DUF1513 domain-containing protein,K09947,uncharacterized protein,NA,S,Protein of unknown function (DUF1513),R7A2020_00195,38678,39781,1104,-1,0.153,0.072,0.049,0.039,0.152,0.068,0.06,0.042
R7A2020_00200,NE,NE,NE,NE,NA,NA,peptidase M75,K07338,uncharacterized protein,IV02_02405,S,Imelysin,R7A2020_00200,39784,40863,1080,-1,0.145,0.062,0.046,0.036,0.163,0.063,0.048,0.05
R7A2020_00205,NE,NE,NE,NE,NA,NA,c-type cytochrome,NA,NA,NA,C,Thiol oxidoreductase,R7A2020_00205,40863,42464,1602,-1,0.159,0.065,0.055,0.035,0.15,0.055,0.048,0.054
R7A2020_00210,NE,NE,NE,NE,NA,NA,bacterioferritin,K03594,bacterioferritin [EC:1.16.3.1],bfr,P,"Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex",bfr,42477,42962,486,-1,0.152,0.068,0.051,0.029,0.169,0.07,0.06,0.048
R7A2020_00215,NE,NE,NE,WT-GR-ES,NA,H,(2Fe-2S)-binding protein,NA,NA,bfd,P,"2 iron, 2 sulfur cluster binding",R7A2020_00215,42928,43239,312,-1,0.184,0.109,0.045,0.011,0.139,0.049,0.038,0.064
R7A2020_00220,NE,NE,NE,NE,NA,NA,peptidase,K07231,putative iron-regulated protein,irpA,P,Imelysin,R7A2020_00220,43352,44641,1290,-1,0.125,0.057,0.038,0.03,0.141,0.057,0.05,0.044
R7A2020_00225,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,S,FAD-dependent oxidoreductase,K00529,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],thcD,S,pyridine nucleotide-disulfide oxidoreductase,R7A2020_00225,45077,46330,1254,1,0.019,0.003,0.009,0.002,0.034,0.013,0.016,0.002
R7A2020_00230,NE,NE,NE,NE,NA,NA,4-aminobutyrate--2-oxoglutarate transaminase,K00823,4-aminobutyrate aminotransferase [EC:2.6.1.19],gabT,E,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,R7A2020_00230,46435,47712,1278,-1,0.194,0.089,0.063,0.055,0.201,0.098,0.069,0.064
R7A2020_00235,NE,NE,NE,NE,NA,NA,efflux RND transporter periplasmic adaptor subunit,K21136,"membrane fusion protein, multidrug efflux system",triA,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,R7A2020_00235,47950,49089,1140,1,0.18,0.079,0.054,0.042,0.193,0.088,0.047,0.059
R7A2020_00240,NE,NE,NE,NE,NA,NA,efflux RND transporter periplasmic adaptor subunit,K21137,"membrane fusion protein, multidrug efflux system",NA,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,R7A2020_00240,49086,50156,1071,1,0.228,0.105,0.081,0.05,0.235,0.111,0.079,0.074
R7A2020_00245,NE,NE,NE,NE,NA,NA,efflux RND transporter permease subunit,K21134,multidrug efflux pump,czcA,V,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,R7A2020_00245,50153,53212,3060,1,0.198,0.092,0.051,0.051,0.201,0.082,0.072,0.062
R7A2020_00250,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,NA,NA,dppFch3,EP,ABC transporter,R7A2020_00250,53287,54033,747,-1,0.143,0.06,0.033,0.042,0.17,0.072,0.046,0.044
R7A2020_00255,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K02031,peptide/nickel transport system ATP-binding protein,dppD,EP,ABC-type dipeptide oligopeptide nickel transport system ATPase component,R7A2020_00255,54030,54866,837,-1,0.146,0.065,0.043,0.041,0.188,0.08,0.059,0.06
R7A2020_00260,NE,NE,NE,NE,NA,NA,ABC transporter permease,K02034,peptide/nickel transport system permease protein,ddpC,EP,membrane component,R7A2020_00260,54863,55783,921,-1,0.155,0.068,0.055,0.04,0.175,0.073,0.049,0.05
R7A2020_00265,NE,NE,NE,NE,NA,NA,ABC transporter permease,K02033,peptide/nickel transport system permease protein,dppBch3,EP,ABC-type dipeptide oligopeptide nickel transport,R7A2020_00265,55780,56841,1062,-1,0.179,0.085,0.061,0.04,0.196,0.094,0.059,0.053
R7A2020_00270,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,K02035,peptide/nickel transport system substrate-binding protein,dppAch3,E,ABC-type dipeptide transport system periplasmic component,R7A2020_00270,56860,58503,1644,-1,0.157,0.072,0.049,0.038,0.166,0.071,0.041,0.053
R7A2020_00275,NE,NE,NE,NE,NA,NA,lytic murein transglycosylase,K08305,membrane-bound lytic murein transglycosylase B [EC:4.2.2.-],mltB,M,Lytic murein transglycosylase,R7A2020_00275,58765,60012,1248,-1,0.152,0.057,0.055,0.032,0.142,0.054,0.036,0.045
R7A2020_00280,NE,NE,NE,NE,NA,NA,recombination protein RecR,K06187,recombination protein RecR,recR,L,May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO,recR,60033,60638,606,-1,0.254,0.12,0.058,0.037,0.219,0.112,0.056,0.064
R7A2020_00285,NE,NE,NE,NE,NA,NA,cell wall hydrolase,K01449,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],cwlJ,M,Cell wall hydrolyses involved in spore germination,R7A2020_00285,60730,61731,1002,-1,0.196,0.092,0.066,0.045,0.17,0.086,0.049,0.038
R7A2020_00290,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00290,61961,62368,408,-1,0.126,0.049,0.037,0.04,0.158,0.08,0.032,0.049
R7A2020_00295,NE,NE,NE,NE,NA,NA,YbaB/EbfC family nucleoid-associated protein,K09747,uncharacterized protein,ybaB,S,"Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection",R7A2020_00295,62444,62767,324,-1,0.217,0.101,0.091,0.062,0.221,0.101,0.058,0.04
R7A2020_00300,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,L,DNA polymerase III subunit gamma/tau,K02343,DNA polymerase III subunit gamma/tau [EC:2.7.7.7],dnaX,L,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity",R7A2020_00300,62791,64608,1818,-1,0.001,0,0,0,0.002,0,0.001,0.001
R7A2020_00305,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,NA,NA,NA,NA,NA,NA,ffs,64712,64808,97,-1,0,0,0,0,0,0,0,0
R7A2020_00310,NE,NE,NE,NE,NA,NA,HIT domain-containing protein,NA,NA,MA20_21960,FG,Histidine triad (HIT) protein,R7A2020_00310,64953,65372,420,1,0.19,0.084,0.092,0.034,0.185,0.073,0.067,0.073
R7A2020_00315,NE,NE,NE,NE,NA,NA,NAD(+) diphosphatase,K03426,NAD+ diphosphatase [EC:3.6.1.22],nudC,L,NADH pyrophosphatase-like rudimentary NUDIX domain,nudC,65444,66388,945,1,0.18,0.073,0.061,0.051,0.205,0.091,0.071,0.066
R7A2020_00320,NE,NE,NE,NE,NA,NA,Dabb family protein,NA,NA,NA,S,Stress responsive A/B Barrel Domain,R7A2020_00320,66420,66725,306,1,0.184,0.073,0.084,0.034,0.169,0.057,0.042,0.057
R7A2020_00325,NE,NE,NE,GR-ES,NA,E,prephenate dehydratase,K04518,prephenate dehydratase [EC:4.2.1.51],pheA,E,Prephenate dehydratase,R7A2020_00325,66722,67585,864,-1,0.19,0.102,0.069,0,0.166,0.084,0.056,0
R7A2020_00330,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,M,3-deoxy-manno-octulosonate cytidylyltransferase,K00979,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38],kdsB,M,Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria,R7A2020_00330,67622,68350,729,-1,0.002,0,0,0,0,0,0,0
R7A2020_00335,NE,NE,TY-GD,GR-GD,NA,C,cytochrome c family protein,K08738,cytochrome c,cycM,C,"Cytochrome c, class I",R7A2020_00335,68544,69191,648,1,0.085,0.036,0.031,0.009,0.08,0.042,0.014,0.018
R7A2020_00340,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,K13893,microcin C transport system substrate-binding protein,yejA,E,ABC-type oligopeptide transport system periplasmic component,R7A2020_00340,69363,71240,1878,1,0.12,0.038,0.048,0.028,0.123,0.05,0.033,0.027
R7A2020_00345,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,K13893,microcin C transport system substrate-binding protein,yejA,E,ABC-type oligopeptide transport system periplasmic component,R7A2020_00345,71240,73108,1869,1,0.137,0.062,0.046,0.036,0.142,0.069,0.045,0.048
R7A2020_00350,NE,NE,NE,NE,NA,NA,microcin C ABC transporter permease YejB,K13894,microcin C transport system permease protein,yejB,P,binding-protein-dependent transport systems inner membrane component,R7A2020_00350,73139,74233,1095,1,0.093,0.027,0.038,0.036,0.137,0.036,0.063,0.049
R7A2020_00355,NE,NE,NE,NE,NA,NA,ABC transporter permease,K13895,microcin C transport system permease protein,yejE,P,transport system permease component,R7A2020_00355,74233,75378,1146,1,0.117,0.039,0.041,0.039,0.133,0.034,0.056,0.061
R7A2020_00360,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K13896,microcin C transport system ATP-binding protein,yejF,P,Belongs to the ABC transporter superfamily,R7A2020_00360,75375,77006,1632,1,0.13,0.045,0.059,0.04,0.159,0.032,0.065,0.074
R7A2020_00365,NE,NE,NE,NE,NA,NA,glyoxylate/hydroxypyruvate reductase A,K12972,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],ghrA,EH,2-hydroxyacid dehydrogenase,R7A2020_00365,77036,77977,942,1,0.18,0.072,0.052,0.037,0.149,0.069,0.047,0.036
R7A2020_00370,NE,NE,NE,NE,NA,NA,AAA family ATPase,NA,NA,adk,F,AAA domain,R7A2020_00370,77986,78495,510,-1,0.161,0.069,0.055,0.046,0.143,0.078,0.037,0.037
R7A2020_00375,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00375,78583,78942,360,-1,0.163,0.052,0.069,0.059,0.141,0.065,0.033,0.033
R7A2020_00380,NE,NE,NE,NE,NA,NA,class I SAM-dependent methyltransferase,NA,NA,MA20_22060,S,Methyltransferase,R7A2020_00380,79072,79989,918,-1,0.175,0.079,0.056,0.047,0.197,0.097,0.054,0.043
R7A2020_00385,NE,NE,NE,NE,NA,NA,ligase-associated DNA damage response exonuclease,K07577,putative mRNA 3-end processing factor,MA20_22065,J,exonuclease of the beta-lactamase fold involved in RNA processing,R7A2020_00385,80141,81148,1008,1,0.204,0.089,0.075,0.033,0.21,0.092,0.061,0.063
R7A2020_00390,NE,NE,NE,NE,NA,NA,cisplatin damage response ATP-dependent DNA ligase,K10747,DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7],lig,L,DNA ligase,R7A2020_00390,81153,82754,1602,1,0.133,0.055,0.048,0.032,0.142,0.043,0.045,0.049
R7A2020_00395,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00395,82759,83904,1146,-1,0.15,0.071,0.045,0.035,0.174,0.081,0.04,0.04
R7A2020_00400,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,J,NA,NA,NA,NA,NA,NA,R7A2020_00400,84193,84268,76,1,0,0,0,0,0.015,0.015,0,0
R7A2020_00405,NE,NE,NE,NE,NA,NA,YodC family protein,NA,NA,NA,S,Uncharacterized small protein (DUF2158),R7A2020_00405,84419,84607,189,1,0.142,0.056,0.031,0.019,0.173,0.074,0.037,0.043
R7A2020_00410,NE,NE,NE,NE,NA,NA,acid-shock protein,NA,NA,NA,DTZ,"EF-hand, calcium binding motif",R7A2020_00410,84817,85254,438,1,0.139,0.07,0.043,0.04,0.139,0.061,0.024,0.035
R7A2020_00415,NE,NE,NE,NE,NA,NA,RNA polymerase sigma factor,K03088,"RNA polymerase sigma-70 factor, ECF subfamily",sigW,K,Belongs to the sigma-70 factor family. ECF subfamily,R7A2020_00415,85279,85836,558,1,0.197,0.092,0.055,0.048,0.225,0.113,0.05,0.059
R7A2020_00420,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00420,85854,86402,549,1,0.094,0.036,0.036,0.03,0.109,0.056,0.041,0.043
R7A2020_00425,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,P,periplasmic heavy metal sensor,NA,NA,NA,S,Heavy-metal resistance,R7A2020_00425,86399,86854,456,1,0.026,0.005,0.008,0.01,0.041,0.015,0.008,0.008
R7A2020_00430,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00430,86964,87239,276,1,0.203,0.097,0.064,0.047,0.199,0.093,0.059,0.064
R7A2020_00435,NE,NE,NE,NE,NA,NA,DUF1800 family protein,NA,NA,NA,S,Protein of unknown function (DUF1800),R7A2020_00435,87355,88851,1497,1,0.196,0.086,0.068,0.048,0.227,0.108,0.064,0.071
R7A2020_00440,NE,NE,NE,NE,NA,NA,DUF1501 domain-containing protein,NA,NA,MA20_05265,S,Protein of unknown function (DUF1501),R7A2020_00440,88891,90150,1260,1,0.176,0.085,0.059,0.042,0.195,0.095,0.044,0.053
R7A2020_00445,NE,NE,NE,NE,NA,NA,acyl-[ACP]--phospholipid O-acyltransferase,K05939,acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20],aas,EGP,Major facilitator Superfamily,R7A2020_00445,90773,94174,3402,-1,0.176,0.075,0.06,0.038,0.164,0.072,0.052,0.05
R7A2020_00450,NE,NE,NE,NE,NA,NA,indolepyruvate oxidoreductase subunit beta family protein,K00180,"indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]",NA,C,Involved in the incorporation of exogenous aryl acids in the biosynthesis of aromatic amino acids catalysis of the ferredoxin-dependent oxidative decarboxylation of arylpyruvates,R7A2020_00450,94464,96020,1557,-1,0.143,0.061,0.04,0.037,0.157,0.063,0.038,0.053
R7A2020_00455,NE,NE,NE,NE,NA,NA,indolepyruvate ferredoxin oxidoreductase subunit alpha,K00179,"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",NA,C,Indolepyruvate ferredoxin oxidoreductase,R7A2020_00455,96013,98166,2154,-1,0.177,0.083,0.04,0.045,0.186,0.075,0.058,0.057
