locus_tag,state,FUN,KO,KA,COG,CA,NCBI,baseMean.WT,log2FoldChange.WT,lfcSE.WT,stat.WT,pvalue.WT,padj.WT,WT1IN.WT,WT3IN.WT,WT1NFR5.WT,WT3NFR5.WT,WT1GIFU.WT,WT3GIFU.WT,WT1COL0.WT,WT3COL0.WT,baseMean.NS,log2FoldChange.NS,lfcSE.NS,stat.NS,pvalue.NS,padj.NS,NS1IN.NS,NS3IN.NS,NS1NFR5.NS,NS3NFR5.NS,NS1GIFU.NS,NS3GIFU.NS,NS1COL0.NS,NS3COL0.NS
R7A2020_04725,WT-IN-ES,C,K01903,succinyl-CoA synthetase beta subunit [EC:6.2.1.5],C,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit",ADP-forming succinate--CoA ligase subunit beta,6.217175668765174,0.19536109061712856,4.997423793858862,4.494619493928941,0.21277071861675867,0.776027475232229,19.260734725997484,30.476670624123912,0,0,0,0,0,0,48.19380670577974,-4.173761996342457,2.9360430604863073,9.152461379576891,0.027331027095292712,0.3462179917032889,211.75657827478915,146.71923597340674,0,1.0258487882015046,0,6.059345983630052,19.989444626210492,0
R7A2020_18495,NS-IN-ES,C,K01647,citrate synthase [EC:2.3.3.1],C,Belongs to the citrate synthase family,citrate (Si)-synthase,86.08426528349503,-4.453236018114308,1.9700285158364745,13.86115495105473,0.003100367600498232,0.1261394314664246,423.7361639719447,162.89254988755883,3.668241828692034,0,15.220744243472925,1.555809692740902,12.894900182027326,68.70571246152356,161.7765762362987,-1.4779114935875926,1.7600979967710793,5.546485037975941,0.13588458302722461,0.6496611471423253,245.3885054125498,626.9954849801053,33.94928694180645,16.413580611224074,0,231.26503837521363,9.709158818445097,130.4915547510452
R7A2020_18495,WT-IN-ES,C,K01647,citrate synthase [EC:2.3.3.1],C,Belongs to the citrate synthase family,citrate (Si)-synthase,86.08426528349503,-4.453236018114308,1.9700285158364745,13.86115495105473,0.003100367600498232,0.1261394314664246,423.7361639719447,162.89254988755883,3.668241828692034,0,15.220744243472925,1.555809692740902,12.894900182027326,68.70571246152356,161.7765762362987,-1.4779114935875926,1.7600979967710793,5.546485037975941,0.13588458302722461,0.6496611471423253,245.3885054125498,626.9954849801053,33.94928694180645,16.413580611224074,0,231.26503837521363,9.709158818445097,130.4915547510452
R7A2020_22290,NS-IN-ES,C,K01679,"fumarate hydratase, class II [EC:4.2.1.2]",C,Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate,class II fumarate hydratase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_22290,WT-IN-ES,C,K01679,"fumarate hydratase, class II [EC:4.2.1.2]",C,Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate,class II fumarate hydratase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00335,WT-PL-CE,C,K08738,cytochrome c,C,"Cytochrome c, class I",cytochrome c family protein,246.86360145418394,2.3705266711785096,1.0190585225236803,10.069383820548595,0.017985462163411386,0.3229611693417514,779.3189589134367,246.96612402307306,381.49715018397154,200.57731690269696,155.78879402142877,98.01601064267683,68.77280097081241,43.97165597537508,267.41368147813375,-0.83436215142527,0.9744032145767346,8.241790111800128,0.04127020406941694,0.403406949687544,450.9169490321981,491.738689317121,93.04619384050658,66.68017123309781,128.19878714100426,624.1126363138953,165.05569991356666,119.56032503368013
R7A2020_00335,PL-WT-UE,C,K08738,cytochrome c,C,"Cytochrome c, class I",cytochrome c family protein,246.86360145418394,2.3705266711785096,1.0190585225236803,10.069383820548595,0.017985462163411386,0.3229611693417514,779.3189589134367,246.96612402307306,381.49715018397154,200.57731690269696,155.78879402142877,98.01601064267683,68.77280097081241,43.97165597537508,267.41368147813375,-0.83436215142527,0.9744032145767346,8.241790111800128,0.04127020406941694,0.403406949687544,450.9169490321981,491.738689317121,93.04619384050658,66.68017123309781,128.19878714100426,624.1126363138953,165.05569991356666,119.56032503368013
R7A2020_04770,NS-IN-ES,C,K00382,dihydrolipoamide dehydrogenase [EC:1.8.1.4],C,dihydrolipoamide dehydrogenase,dihydrolipoyl dehydrogenase,144.02739966610682,-1.4802632981277242,1.6830531285801118,31.39993765300121,7.001939944229564e-7,1.6973869414803168e-4,880.0674174801927,241.71152563960345,0,7.3896906227309405,2.686013690024634,0,10.745750151689439,9.618799744613298,62.22905551190818,-6.87646743321325,2.3446648655935314,12.049750218097707,0.007214665843436845,0.17630433423713912,93.42201982711286,29.80234480709824,0,3.077546364604514,1.1147720620956891,0,364.9501461756716,5.46561485868252
R7A2020_04770,WT-IN-ES,C,K00382,dihydrolipoamide dehydrogenase [EC:1.8.1.4],C,dihydrolipoamide dehydrogenase,dihydrolipoyl dehydrogenase,144.02739966610682,-1.4802632981277242,1.6830531285801118,31.39993765300121,7.001939944229564e-7,1.6973869414803168e-4,880.0674174801927,241.71152563960345,0,7.3896906227309405,2.686013690024634,0,10.745750151689439,9.618799744613298,62.22905551190818,-6.87646743321325,2.3446648655935314,12.049750218097707,0.007214665843436845,0.17630433423713912,93.42201982711286,29.80234480709824,0,3.077546364604514,1.1147720620956891,0,364.9501461756716,5.46561485868252
R7A2020_07745,NS-PL-CE,C,K03522,electron transfer flavoprotein alpha subunit,C,Electron transfer flavoprotein,electron transfer flavoprotein subunit alpha/FixB family protein,260.8424726407897,-2.1160798076201397,1.501031690845209,4.19534450690449,0.24112840182223444,0.8016485953152914,294.83740080565383,153.4342727973135,106.379013032069,1.055670088961563,102.96385811761097,961.4903901138774,421.233405946226,45.34577022460555,382.35484355333216,-3.87503664448881,0.8649629764622642,23.398556830441237,3.3350136193234795e-5,0.003762925665118541,568.0058805488462,824.1494583193706,26.40500095473835,62.576776080291786,146.03514013453528,122.1968106698727,290.1325105747123,1019.3371711442901
R7A2020_07745,WT-PL-CE,C,K03522,electron transfer flavoprotein alpha subunit,C,Electron transfer flavoprotein,electron transfer flavoprotein subunit alpha/FixB family protein,260.8424726407897,-2.1160798076201397,1.501031690845209,4.19534450690449,0.24112840182223444,0.8016485953152914,294.83740080565383,153.4342727973135,106.379013032069,1.055670088961563,102.96385811761097,961.4903901138774,421.233405946226,45.34577022460555,382.35484355333216,-3.87503664448881,0.8649629764622642,23.398556830441237,3.3350136193234795e-5,0.003762925665118541,568.0058805488462,824.1494583193706,26.40500095473835,62.576776080291786,146.03514013453528,122.1968106698727,290.1325105747123,1019.3371711442901
R7A2020_07745,PL-CORE-ES,C,K03522,electron transfer flavoprotein alpha subunit,C,Electron transfer flavoprotein,electron transfer flavoprotein subunit alpha/FixB family protein,260.8424726407897,-2.1160798076201397,1.501031690845209,4.19534450690449,0.24112840182223444,0.8016485953152914,294.83740080565383,153.4342727973135,106.379013032069,1.055670088961563,102.96385811761097,961.4903901138774,421.233405946226,45.34577022460555,382.35484355333216,-3.87503664448881,0.8649629764622642,23.398556830441237,3.3350136193234795e-5,0.003762925665118541,568.0058805488462,824.1494583193706,26.40500095473835,62.576776080291786,146.03514013453528,122.1968106698727,290.1325105747123,1019.3371711442901
R7A2020_07750,NS-PL-CE,C,K03521,electron transfer flavoprotein beta subunit,C,Electron transfer flavoprotein,electron transfer flavoprotein subunit beta/FixA family protein,133.8776576163333,-3.0299771602810677,1.5878170406831427,7.201743306196434,0.0657380812486585,0.5472269392481682,223.7208418173554,180.75818439135563,17.42414868628716,2.111340177923126,279.3454237625619,207.7005939809104,5.3728750758447195,154.58785303842802,104.90714316946088,0.022031488839070152,1.4024035314533432,8.539872733306495,0.0360773787412739,0.38756392014140767,307.66985196395837,304.90091225723586,17.603333969825567,58.47338092748576,18.951125055626715,56.553895847213816,21.131698604851092,53.97294672948989
R7A2020_07750,WT-PL-CE,C,K03521,electron transfer flavoprotein beta subunit,C,Electron transfer flavoprotein,electron transfer flavoprotein subunit beta/FixA family protein,133.8776576163333,-3.0299771602810677,1.5878170406831427,7.201743306196434,0.0657380812486585,0.5472269392481682,223.7208418173554,180.75818439135563,17.42414868628716,2.111340177923126,279.3454237625619,207.7005939809104,5.3728750758447195,154.58785303842802,104.90714316946088,0.022031488839070152,1.4024035314533432,8.539872733306495,0.0360773787412739,0.38756392014140767,307.66985196395837,304.90091225723586,17.603333969825567,58.47338092748576,18.951125055626715,56.553895847213816,21.131698604851092,53.97294672948989
R7A2020_07750,PL-CORE-ES,C,K03521,electron transfer flavoprotein beta subunit,C,Electron transfer flavoprotein,electron transfer flavoprotein subunit beta/FixA family protein,133.8776576163333,-3.0299771602810677,1.5878170406831427,7.201743306196434,0.0657380812486585,0.5472269392481682,223.7208418173554,180.75818439135563,17.42414868628716,2.111340177923126,279.3454237625619,207.7005939809104,5.3728750758447195,154.58785303842802,104.90714316946088,0.022031488839070152,1.4024035314533432,8.539872733306495,0.0360773787412739,0.38756392014140767,307.66985196395837,304.90091225723586,17.603333969825567,58.47338092748576,18.951125055626715,56.553895847213816,21.131698604851092,53.97294672948989
R7A2020_23825,NS-PL-CE,C,K00311,electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1],C,Electron transfer flavoprotein-ubiquinone oxidoreductase,electron transfer flavoprotein-ubiquinone oxidoreductase,155.6324068370307,4.977245390740969,1.7219525436345873,7.312591285595943,0.0625744433498588,0.5369588663856615,300.7637807213453,200.72565824854024,537.397427903383,55.950514714962836,0.895337896674878,130.68801419023578,2.149150030337888,16.489370990765654,173.5377498167555,-6.124550828146455,1.4138150920067423,33.5310646550255,2.488297755754206e-7,5.62458971873607e-5,595.409673031466,494.0311773792055,3.7721429935340502,0,30.098845676583608,15.148364959075128,150.77752518055914,99.06426931362068
R7A2020_23825,WT-IN-ES,C,K00311,electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1],C,Electron transfer flavoprotein-ubiquinone oxidoreductase,electron transfer flavoprotein-ubiquinone oxidoreductase,155.6324068370307,4.977245390740969,1.7219525436345873,7.312591285595943,0.0625744433498588,0.5369588663856615,300.7637807213453,200.72565824854024,537.397427903383,55.950514714962836,0.895337896674878,130.68801419023578,2.149150030337888,16.489370990765654,173.5377498167555,-6.124550828146455,1.4138150920067423,33.5310646550255,2.488297755754206e-7,5.62458971873607e-5,595.409673031466,494.0311773792055,3.7721429935340502,0,30.098845676583608,15.148364959075128,150.77752518055914,99.06426931362068
R7A2020_23825,PL-NS-UE,C,K00311,electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1],C,Electron transfer flavoprotein-ubiquinone oxidoreductase,electron transfer flavoprotein-ubiquinone oxidoreductase,155.6324068370307,4.977245390740969,1.7219525436345873,7.312591285595943,0.0625744433498588,0.5369588663856615,300.7637807213453,200.72565824854024,537.397427903383,55.950514714962836,0.895337896674878,130.68801419023578,2.149150030337888,16.489370990765654,173.5377498167555,-6.124550828146455,1.4138150920067423,33.5310646550255,2.488297755754206e-7,5.62458971873607e-5,595.409673031466,494.0311773792055,3.7721429935340502,0,30.098845676583608,15.148364959075128,150.77752518055914,99.06426931362068
R7A2020_25050,NS-IN-ES,C,K02108,F-type H+-transporting ATPase subunit a,C,it plays a direct role in the translocation of protons across the membrane,F0F1 ATP synthase subunit A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_25050,WT-IN-ES,C,K02108,F-type H+-transporting ATPase subunit a,C,it plays a direct role in the translocation of protons across the membrane,F0F1 ATP synthase subunit A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_05605,NS-IN-ES,C,K02111,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1],C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,F0F1 ATP synthase subunit alpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_05605,WT-IN-ES,C,K02111,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1],C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit,F0F1 ATP synthase subunit alpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_25035,NS-IN-ES,C,K02109,F-type H+-transporting ATPase subunit b,C,"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",F0F1 ATP synthase subunit B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_25035,WT-IN-ES,C,K02109,F-type H+-transporting ATPase subunit b,C,"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",F0F1 ATP synthase subunit B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_25040,NS-IN-ES,C,K02109,F-type H+-transporting ATPase subunit b,C,"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",F0F1 ATP synthase subunit B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_25040,WT-IN-ES,C,K02109,F-type H+-transporting ATPase subunit b,C,"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0)",F0F1 ATP synthase subunit B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_05615,NS-IN-ES,C,K02133,F-type H+-transporting ATPase subunit beta [EC:7.1.2.2],C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,F0F1 ATP synthase subunit beta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_05615,WT-IN-ES,C,K02133,F-type H+-transporting ATPase subunit beta [EC:7.1.2.2],C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,F0F1 ATP synthase subunit beta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_25045,NS-IN-ES,C,NA,NA,NA,NA,F0F1 ATP synthase subunit C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_25045,WT-IN-ES,C,NA,NA,NA,NA,F0F1 ATP synthase subunit C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_05600,NS-IN-ES,C,K02113,F-type H+-transporting ATPase subunit delta,C,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",F0F1 ATP synthase subunit delta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_05600,WT-IN-ES,C,K02113,F-type H+-transporting ATPase subunit delta,C,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",F0F1 ATP synthase subunit delta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_05620,NS-PL-CE,C,K02114,F-type H+-transporting ATPase subunit epsilon,C,Produces ATP from ADP in the presence of a proton gradient across the membrane,F0F1 ATP synthase subunit epsilon,92.93394061485827,5.072512500248526,2.2971527829684213,4.096072482309012,0.25127516779737474,0.8076809688366638,28.150304599534785,49.39322480461462,69.69659474514864,323.03504722223823,0,261.37602838047155,11.820325166858382,0,82.17350292681462,-3.0905626437965408,1.8752090587666623,3.662009830450458,0.3003498318649316,0.8013370495814178,211.75657827478915,71.06712992461888,23.890238959048986,9.232639093813543,12.262492683052582,47.46487687176874,2.2845079572811993,279.42955965014386
R7A2020_05620,WT-IN-ES,C,K02114,F-type H+-transporting ATPase subunit epsilon,C,Produces ATP from ADP in the presence of a proton gradient across the membrane,F0F1 ATP synthase subunit epsilon,92.93394061485827,5.072512500248526,2.2971527829684213,4.096072482309012,0.25127516779737474,0.8076809688366638,28.150304599534785,49.39322480461462,69.69659474514864,323.03504722223823,0,261.37602838047155,11.820325166858382,0,82.17350292681462,-3.0905626437965408,1.8752090587666623,3.662009830450458,0.3003498318649316,0.8013370495814178,211.75657827478915,71.06712992461888,23.890238959048986,9.232639093813543,12.262492683052582,47.46487687176874,2.2845079572811993,279.42955965014386
R7A2020_05620,PL-NS-UE,C,K02114,F-type H+-transporting ATPase subunit epsilon,C,Produces ATP from ADP in the presence of a proton gradient across the membrane,F0F1 ATP synthase subunit epsilon,92.93394061485827,5.072512500248526,2.2971527829684213,4.096072482309012,0.25127516779737474,0.8076809688366638,28.150304599534785,49.39322480461462,69.69659474514864,323.03504722223823,0,261.37602838047155,11.820325166858382,0,82.17350292681462,-3.0905626437965408,1.8752090587666623,3.662009830450458,0.3003498318649316,0.8013370495814178,211.75657827478915,71.06712992461888,23.890238959048986,9.232639093813543,12.262492683052582,47.46487687176874,2.2845079572811993,279.42955965014386
R7A2020_05610,NS-IN-ES,C,K02115,F-type H+-transporting ATPase subunit gamma,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex,F0F1 ATP synthase subunit gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_05610,WT-IN-ES,C,K02115,F-type H+-transporting ATPase subunit gamma,C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex,F0F1 ATP synthase subunit gamma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_06285,NS-IN-ES,C,K05524,ferredoxin,C,Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions,ferredoxin family protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_06285,WT-IN-ES,C,K05524,ferredoxin,C,Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions,ferredoxin family protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_30600,ICE-IN-ES,C,K03855,ferredoxin like protein,C,Could be a 3Fe-4S cluster-containing protein,ferredoxin family protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_03160,NS-IN-ES,C,K00528,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],C,Oxidoreductase FAD-binding domain,ferredoxin--NADP reductase,7.836240624871532,-2.512355002832544,4.804488021088882,2.7309600586355813,0.4349915708376413,0.8892413770672511,7.4079748946144175,48.34230512792069,0,1.055670088961563,0,0,1.074575015168944,4.809399872306649,35.22333099456586,1.7995233282960235,2.52005098708318,9.265305092999604,0.025963765088357883,0.33731194818198434,194.31780124039474,68.77464186253441,8.801666984912783,0,3.3443161862870676,4.039563989086701,1.1422539786405996,1.36640371467063
R7A2020_03160,WT-IN-ES,C,K00528,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1],C,Oxidoreductase FAD-binding domain,ferredoxin--NADP reductase,7.836240624871532,-2.512355002832544,4.804488021088882,2.7309600586355813,0.4349915708376413,0.8892413770672511,7.4079748946144175,48.34230512792069,0,1.055670088961563,0,0,1.074575015168944,4.809399872306649,35.22333099456586,1.7995233282960235,2.52005098708318,9.265305092999604,0.025963765088357883,0.33731194818198434,194.31780124039474,68.77464186253441,8.801666984912783,0,3.3443161862870676,4.039563989086701,1.1422539786405996,1.36640371467063
