locus_tag,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ICESym
R7A2020_00125,NA,tRNA (guanosine(46)-N7)-methyltransferase TrmB,K03439,tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33],trmB,J,Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA,trmB,25589,26290,702,-1,FALSE
R7A2020_00130,H,methionine adenosyltransferase,K00789,S-adenosylmethionine synthetase [EC:2.5.1.6],metK,H,"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme",R7A2020_00130,26316,27581,1266,-1,FALSE
R7A2020_00135,K,helix-turn-helix transcriptional regulator,NA,NA,MA20_23890,K,transcriptional,R7A2020_00135,27750,28169,420,-1,FALSE
R7A2020_00140,NA,apolipoprotein N-acyltransferase,K03820,apolipoprotein N-acyltransferase [EC:2.3.1.269],lnt,M,Transfers the fatty acyl group on membrane lipoproteins,lnt,28308,29900,1593,-1,FALSE
R7A2020_00145,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR substrate binding domain,R7A2020_00145,30081,31025,945,-1,FALSE
R7A2020_00150,NA,SDR family oxidoreductase,NA,NA,NA,IQ,KR domain,R7A2020_00150,31126,31887,762,1,FALSE
R7A2020_00155,NA,glyoxalase,NA,NA,NA,S,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_00155,31913,32383,471,-1,FALSE
R7A2020_00160,NA,HlyC/CorC family transporter,NA,NA,tlyC,S,COG1253 Hemolysins and related proteins containing CBS domains,R7A2020_00160,32397,33473,1077,-1,FALSE
R7A2020_00165,J,rRNA maturation RNase YbeY,K07042,probable rRNA maturation factor,ybeY,J,Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA,ybeY,33501,34001,501,-1,FALSE
R7A2020_00170,NA,PhoH family protein,K06217,phosphate starvation-inducible protein PhoH and related proteins,phoH,T,Phosphate starvation-inducible protein PhoH,R7A2020_00170,34020,35069,1050,-1,FALSE
R7A2020_00175,NA,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,K06168,tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3],miaB,J,"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine",miaB,35096,36505,1410,-1,FALSE
R7A2020_00180,NA,1-acyl-sn-glycerol-3-phosphate acyltransferase,K22617,lyso-ornithine lipid O-acyltransferase [EC:2.3.1.270],plsC,I,Acyltransferase,R7A2020_00180,36582,37382,801,-1,FALSE
R7A2020_00185,NA,ribosomal protein S18-alanine N-acetyltransferase,K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],rimI,K,FR47-like protein,rimI,37410,37904,495,-1,FALSE
R7A2020_00190,O,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,K14742,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,yeaZ,O,Peptidase M22 glycoprotease,tsaB,37904,38581,678,-1,FALSE
R7A2020_00195,NA,DUF1513 domain-containing protein,K09947,uncharacterized protein,NA,S,Protein of unknown function (DUF1513),R7A2020_00195,38678,39781,1104,-1,FALSE
R7A2020_00200,NA,peptidase M75,K07338,uncharacterized protein,IV02_02405,S,Imelysin,R7A2020_00200,39784,40863,1080,-1,FALSE
R7A2020_00205,NA,c-type cytochrome,NA,NA,NA,C,Thiol oxidoreductase,R7A2020_00205,40863,42464,1602,-1,FALSE
R7A2020_00210,NA,bacterioferritin,K03594,bacterioferritin [EC:1.16.3.1],bfr,P,"Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex",bfr,42477,42962,486,-1,FALSE
R7A2020_00215,H,(2Fe-2S)-binding protein,NA,NA,bfd,P,"2 iron, 2 sulfur cluster binding",R7A2020_00215,42928,43239,312,-1,FALSE
R7A2020_00220,NA,peptidase,K07231,putative iron-regulated protein,irpA,P,Imelysin,R7A2020_00220,43352,44641,1290,-1,FALSE
R7A2020_00225,S,FAD-dependent oxidoreductase,K00529,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],thcD,S,pyridine nucleotide-disulfide oxidoreductase,R7A2020_00225,45077,46330,1254,1,FALSE
R7A2020_00230,NA,4-aminobutyrate--2-oxoglutarate transaminase,K00823,4-aminobutyrate aminotransferase [EC:2.6.1.19],gabT,E,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,R7A2020_00230,46435,47712,1278,-1,FALSE
R7A2020_00235,NA,efflux RND transporter periplasmic adaptor subunit,K21136,"membrane fusion protein, multidrug efflux system",triA,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,R7A2020_00235,47950,49089,1140,1,FALSE
R7A2020_00240,NA,efflux RND transporter periplasmic adaptor subunit,K21137,"membrane fusion protein, multidrug efflux system",NA,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,R7A2020_00240,49086,50156,1071,1,FALSE
R7A2020_00245,NA,efflux RND transporter permease subunit,K21134,multidrug efflux pump,czcA,V,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,R7A2020_00245,50153,53212,3060,1,FALSE
R7A2020_00250,NA,ABC transporter ATP-binding protein,NA,NA,dppFch3,EP,ABC transporter,R7A2020_00250,53287,54033,747,-1,FALSE
R7A2020_00255,NA,ABC transporter ATP-binding protein,K02031,peptide/nickel transport system ATP-binding protein,dppD,EP,ABC-type dipeptide oligopeptide nickel transport system ATPase component,R7A2020_00255,54030,54866,837,-1,FALSE
R7A2020_00260,NA,ABC transporter permease,K02034,peptide/nickel transport system permease protein,ddpC,EP,membrane component,R7A2020_00260,54863,55783,921,-1,FALSE
R7A2020_00265,NA,ABC transporter permease,K02033,peptide/nickel transport system permease protein,dppBch3,EP,ABC-type dipeptide oligopeptide nickel transport,R7A2020_00265,55780,56841,1062,-1,FALSE
R7A2020_00270,NA,ABC transporter substrate-binding protein,K02035,peptide/nickel transport system substrate-binding protein,dppAch3,E,ABC-type dipeptide transport system periplasmic component,R7A2020_00270,56860,58503,1644,-1,FALSE
R7A2020_00275,NA,lytic murein transglycosylase,K08305,membrane-bound lytic murein transglycosylase B [EC:4.2.2.-],mltB,M,Lytic murein transglycosylase,R7A2020_00275,58765,60012,1248,-1,FALSE
R7A2020_00280,NA,recombination protein RecR,K06187,recombination protein RecR,recR,L,May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO,recR,60033,60638,606,-1,FALSE
R7A2020_00285,NA,cell wall hydrolase,K01449,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],cwlJ,M,Cell wall hydrolyses involved in spore germination,R7A2020_00285,60730,61731,1002,-1,FALSE
R7A2020_00290,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00290,61961,62368,408,-1,FALSE
R7A2020_00295,NA,YbaB/EbfC family nucleoid-associated protein,K09747,uncharacterized protein,ybaB,S,"Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection",R7A2020_00295,62444,62767,324,-1,FALSE
R7A2020_00300,L,DNA polymerase III subunit gamma/tau,K02343,DNA polymerase III subunit gamma/tau [EC:2.7.7.7],dnaX,L,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity",R7A2020_00300,62791,64608,1818,-1,FALSE
R7A2020_00305,J,NA,NA,NA,NA,NA,NA,ffs,64712,64808,97,-1,FALSE
R7A2020_00310,NA,HIT domain-containing protein,NA,NA,MA20_21960,FG,Histidine triad (HIT) protein,R7A2020_00310,64953,65372,420,1,FALSE
R7A2020_00315,NA,NAD(+) diphosphatase,K03426,NAD+ diphosphatase [EC:3.6.1.22],nudC,L,NADH pyrophosphatase-like rudimentary NUDIX domain,nudC,65444,66388,945,1,FALSE
R7A2020_00320,NA,Dabb family protein,NA,NA,NA,S,Stress responsive A/B Barrel Domain,R7A2020_00320,66420,66725,306,1,FALSE
R7A2020_00325,E,prephenate dehydratase,K04518,prephenate dehydratase [EC:4.2.1.51],pheA,E,Prephenate dehydratase,R7A2020_00325,66722,67585,864,-1,FALSE
R7A2020_00330,M,3-deoxy-manno-octulosonate cytidylyltransferase,K00979,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38],kdsB,M,Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria,R7A2020_00330,67622,68350,729,-1,FALSE
R7A2020_00335,C,cytochrome c family protein,K08738,cytochrome c,cycM,C,"Cytochrome c, class I",R7A2020_00335,68544,69191,648,1,FALSE
R7A2020_00340,NA,ABC transporter substrate-binding protein,K13893,microcin C transport system substrate-binding protein,yejA,E,ABC-type oligopeptide transport system periplasmic component,R7A2020_00340,69363,71240,1878,1,FALSE
R7A2020_00345,NA,ABC transporter substrate-binding protein,K13893,microcin C transport system substrate-binding protein,yejA,E,ABC-type oligopeptide transport system periplasmic component,R7A2020_00345,71240,73108,1869,1,FALSE
R7A2020_00350,P,microcin C ABC transporter permease YejB,K13894,microcin C transport system permease protein,yejB,P,binding-protein-dependent transport systems inner membrane component,R7A2020_00350,73139,74233,1095,1,FALSE
R7A2020_00355,NA,ABC transporter permease,K13895,microcin C transport system permease protein,yejE,P,transport system permease component,R7A2020_00355,74233,75378,1146,1,FALSE
R7A2020_00360,NA,ABC transporter ATP-binding protein,K13896,microcin C transport system ATP-binding protein,yejF,P,Belongs to the ABC transporter superfamily,R7A2020_00360,75375,77006,1632,1,FALSE
R7A2020_00365,NA,glyoxylate/hydroxypyruvate reductase A,K12972,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],ghrA,EH,2-hydroxyacid dehydrogenase,R7A2020_00365,77036,77977,942,1,FALSE
R7A2020_00370,NA,AAA family ATPase,NA,NA,adk,F,AAA domain,R7A2020_00370,77986,78495,510,-1,FALSE
R7A2020_00375,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00375,78583,78942,360,-1,FALSE
R7A2020_00380,NA,class I SAM-dependent methyltransferase,NA,NA,MA20_22060,S,Methyltransferase,R7A2020_00380,79072,79989,918,-1,FALSE
R7A2020_00385,NA,ligase-associated DNA damage response exonuclease,K07577,putative mRNA 3-end processing factor,MA20_22065,J,exonuclease of the beta-lactamase fold involved in RNA processing,R7A2020_00385,80141,81148,1008,1,FALSE
R7A2020_00390,NA,cisplatin damage response ATP-dependent DNA ligase,K10747,DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7],lig,L,DNA ligase,R7A2020_00390,81153,82754,1602,1,FALSE
R7A2020_00395,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00395,82759,83904,1146,-1,FALSE
R7A2020_00400,J,NA,NA,NA,NA,NA,NA,R7A2020_00400,84193,84268,76,1,FALSE
R7A2020_00405,NA,YodC family protein,NA,NA,NA,S,Uncharacterized small protein (DUF2158),R7A2020_00405,84419,84607,189,1,FALSE
R7A2020_00410,NA,acid-shock protein,NA,NA,NA,DTZ,"EF-hand, calcium binding motif",R7A2020_00410,84817,85254,438,1,FALSE
R7A2020_00415,NA,RNA polymerase sigma factor,K03088,"RNA polymerase sigma-70 factor, ECF subfamily",sigW,K,Belongs to the sigma-70 factor family. ECF subfamily,R7A2020_00415,85279,85836,558,1,FALSE
R7A2020_00420,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00420,85854,86402,549,1,FALSE
R7A2020_00425,P,periplasmic heavy metal sensor,NA,NA,NA,S,Heavy-metal resistance,R7A2020_00425,86399,86854,456,1,FALSE
R7A2020_00430,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00430,86964,87239,276,1,FALSE
R7A2020_00435,NA,DUF1800 family protein,NA,NA,NA,S,Protein of unknown function (DUF1800),R7A2020_00435,87355,88851,1497,1,FALSE
R7A2020_00440,NA,DUF1501 domain-containing protein,NA,NA,MA20_05265,S,Protein of unknown function (DUF1501),R7A2020_00440,88891,90150,1260,1,FALSE
R7A2020_00445,NA,acyl-[ACP]--phospholipid O-acyltransferase,K05939,acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20],aas,EGP,Major facilitator Superfamily,R7A2020_00445,90773,94174,3402,-1,FALSE
R7A2020_00450,NA,indolepyruvate oxidoreductase subunit beta family protein,K00180,"indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]",NA,C,Involved in the incorporation of exogenous aryl acids in the biosynthesis of aromatic amino acids catalysis of the ferredoxin-dependent oxidative decarboxylation of arylpyruvates,R7A2020_00450,94464,96020,1557,-1,FALSE
R7A2020_00455,NA,indolepyruvate ferredoxin oxidoreductase subunit alpha,K00179,"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",NA,C,Indolepyruvate ferredoxin oxidoreductase,R7A2020_00455,96013,98166,2154,-1,FALSE
R7A2020_00460,NA,MarR family transcriptional regulator,NA,NA,NA,K,helix_turn_helix multiple antibiotic resistance protein,R7A2020_00460,98274,98756,483,-1,FALSE
R7A2020_00465,NA,NAD(P)/FAD-dependent oxidoreductase,NA,NA,NA,Q,Flavin containing amine oxidoreductase,R7A2020_00465,98756,100327,1572,-1,FALSE
R7A2020_00470,NA,cyclase family protein,K01475,isatin hydrolase [EC:3.5.2.20],hemA,S,Putative cyclase,R7A2020_00470,100385,101176,792,-1,FALSE
R7A2020_00475,NA,NAD(P)/FAD-dependent oxidoreductase,NA,NA,NA,Q,COG1233 Phytoene dehydrogenase and related,R7A2020_00475,101297,102871,1575,1,FALSE
R7A2020_00480,NA,ABC transporter substrate-binding protein,K02035,peptide/nickel transport system substrate-binding protein,NA,E,ABC transporter substrate-binding protein,R7A2020_00480,102982,104511,1530,1,FALSE
R7A2020_00485,NA,ABC transporter permease,K02033,peptide/nickel transport system permease protein,oppB6,P,"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",R7A2020_00485,104602,105609,1008,1,FALSE
R7A2020_00490,NA,ABC transporter permease,K02034,peptide/nickel transport system permease protein,NA,P,COG1173 ABC-type dipeptide oligopeptide nickel transport systems permease components,R7A2020_00490,105575,106444,870,1,FALSE
R7A2020_00495,NA,ABC transporter ATP-binding protein,NA,NA,NA,EP,Belongs to the ABC transporter superfamily,R7A2020_00495,106441,107319,879,1,FALSE
R7A2020_00500,NA,ABC transporter ATP-binding protein,NA,NA,NA,E,ATPases associated with a variety of cellular activities,R7A2020_00500,107312,108148,837,1,FALSE
R7A2020_00505,NA,glyoxalase/bleomycin resistance/dioxygenase family protein,NA,NA,NA,E,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_00505,108226,108825,600,1,FALSE
R7A2020_00510,NA,bifunctional salicylyl-CoA 5-hydroxylase/oxidoreductase,K09461,anthraniloyl-CoA monooxygenase [EC:1.14.13.40],namA,CH,Catalyzes the conversion of salicylyl-CoA to gentisyl-CoA,R7A2020_00510,108968,111262,2295,1,FALSE
R7A2020_00515,NA,SDR family oxidoreductase,NA,NA,NA,IQ,Belongs to the short-chain dehydrogenases reductases (SDR) family,R7A2020_00515,111259,112032,774,1,FALSE
R7A2020_00520,NA,MarR family transcriptional regulator,NA,NA,NA,K,COG1846 Transcriptional regulators,R7A2020_00520,112026,112496,471,1,FALSE
R7A2020_00525,NA,enoyl-CoA hydratase family protein,NA,NA,MA20_38145,I,Belongs to the enoyl-CoA hydratase isomerase family,R7A2020_00525,112493,113305,813,1,FALSE
R7A2020_00530,NA,acyl-CoA dehydrogenase,K00249,acyl-CoA dehydrogenase [EC:1.3.8.7],abmD,I,acyl-CoA dehydrogenase,R7A2020_00530,113305,114453,1149,1,FALSE
R7A2020_00535,J,RidA family protein,K09022,2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10],abmE,J,Endoribonuclease L-PSP,R7A2020_00535,114518,114931,414,1,FALSE
R7A2020_00540,NA,LLM class flavin-dependent oxidoreductase,K17228,dimethylsulfone monooxygenase [EC:1.14.14.35],NA,C,Luciferase-like monooxygenase,R7A2020_00540,114928,116022,1095,-1,FALSE
R7A2020_00545,NA,HpcH/HpaI aldolase/citrate lyase family protein,K02510,4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52],NA,G,Belongs to the HpcH HpaI aldolase family,R7A2020_00545,116113,116907,795,1,FALSE
R7A2020_00550,NA,amino acid ABC transporter substrate-binding protein,K02030,polar amino acid transport system substrate-binding protein,NA,ET,Bacterial periplasmic substrate-binding proteins,R7A2020_00550,117308,118105,798,1,FALSE
R7A2020_00555,NA,amino acid ABC transporter permease,K02029,polar amino acid transport system permease protein,yecS,E,"polar amino acid ABC transporter, inner membrane subunit",R7A2020_00555,118257,118931,675,1,FALSE
R7A2020_00560,NA,cysteine desulfurase-like protein,NA,NA,NA,E,Aminotransferase class-V,R7A2020_00560,118980,120254,1275,1,FALSE
R7A2020_00565,NA,dipeptide ABC transporter ATP-binding protein,K02032,peptide/nickel transport system ATP-binding protein,dppF,E,Belongs to the ABC transporter superfamily,R7A2020_00565,120438,121268,831,-1,FALSE
R7A2020_00570,NA,ABC transporter ATP-binding protein,K02031,peptide/nickel transport system ATP-binding protein,gsiA,P,ABC-type dipeptide oligopeptide nickel transport system ATPase component,R7A2020_00570,121265,122122,858,-1,FALSE
R7A2020_00575,NA,ABC transporter permease subunit,K12370,dipeptide transport system permease protein,dppC,EP,COG1173 ABC-type dipeptide oligopeptide nickel transport systems permease components,R7A2020_00575,122125,123048,924,-1,FALSE
R7A2020_00580,NA,ABC transporter permease subunit,K12369,dipeptide transport system permease protein,dppB,EP,"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",R7A2020_00580,123050,124057,1008,-1,FALSE
R7A2020_00585,NA,ABC transporter substrate-binding protein,K12368,dipeptide transport system substrate-binding protein,dppA,E,ABC-type dipeptide transport system periplasmic component,R7A2020_00585,124108,125700,1593,-1,FALSE
R7A2020_00590,NA,long-chain fatty acid--CoA ligase,K01897,long-chain acyl-CoA synthetase [EC:6.2.1.3],fadD,IQ,AMP-binding enzyme C-terminal domain,R7A2020_00590,126169,128220,2052,1,FALSE
R7A2020_00595,NA,methyltransferase,K22843,ETFB lysine methyltransferase [EC:2.1.1.-],prmA_2,S,Lysine methyltransferase,R7A2020_00595,128393,129067,675,1,FALSE
R7A2020_00600,NA,HAD family hydrolase,K01091,phosphoglycolate phosphatase [EC:3.1.3.18],gph,S,"Subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E",R7A2020_00600,129051,129773,723,-1,FALSE
R7A2020_00605,NA,glucose-6-phosphate isomerase,K01810,glucose-6-phosphate isomerase [EC:5.3.1.9],pgi,G,Belongs to the GPI family,pgi,129779,131422,1644,-1,FALSE
R7A2020_00610,NA,PLP-dependent aminotransferase family protein,K00375,GntR family transcriptional regulator / MocR family aminotransferase,NA,K,COG1167 Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs,R7A2020_00610,131726,133219,1494,1,FALSE
R7A2020_00615,NA,trimethylamine methyltransferase family protein,K14083,trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250],mttB2,H,Trimethylamine methyltransferase (MTTB),R7A2020_00615,133412,135001,1590,1,FALSE
R7A2020_00620,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00620,135044,135514,471,-1,FALSE
R7A2020_00625,NA,chromate efflux transporter,K07240,chromate transporter,chrA,P,"TIGRFAM chromate transporter, chromate ion transporter (CHR) family",chrA,135507,136898,1392,-1,FALSE
R7A2020_00630,NA,sulfurtransferase,NA,NA,chrB,P,Chromate resistance exported protein,R7A2020_00630,136895,137713,819,-1,FALSE
R7A2020_00635,NA,dihydroxy-acid dehydratase family protein,NA,NA,MA20_27195,EG,Belongs to the IlvD Edd family,R7A2020_00635,137914,139719,1806,-1,FALSE
R7A2020_00640,NA,carbon monoxide dehydrogenase subunit G,K09386,uncharacterized protein,coxG,S,carbon monoxide dehydrogenase subunit G,R7A2020_00640,139869,140318,450,1,FALSE
R7A2020_00645,D,Mrp/NBP35 family ATP-binding protein,K03593,ATP-binding protein involved in chromosome partitioning,mrp,D,Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP,R7A2020_00645,140334,141503,1170,-1,FALSE
R7A2020_00650,NA,VOC family protein,NA,NA,NA,E,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_00650,141718,142095,378,1,FALSE
R7A2020_00655,NA,sensor domain-containing diguanylate cyclase,NA,NA,NA,T,Domain present in phytochromes and cGMP-specific phosphodiesterases.,R7A2020_00655,142136,143386,1251,-1,FALSE
R7A2020_00660,NA,LysR family transcriptional regulator,NA,NA,oxyS,K,Transcriptional regulator,R7A2020_00660,143559,144458,900,1,FALSE
R7A2020_00665,NA,formate dehydrogenase subunit gamma,NA,NA,fdsG,C,COG1905 NADH ubiquinone oxidoreductase 24 kD subunit,R7A2020_00665,144594,145073,480,1,FALSE
R7A2020_00670,NA,NADH-quinone oxidoreductase subunit NuoF,NA,NA,fdsB,C,NADH ubiquinone oxidoreductase NADH-binding (51 kD) subunit,R7A2020_00670,145070,146626,1557,1,FALSE
