# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* R7A2020_00130       K00789   20.90  510.1  2.5e-153 S-adenosylmethionine synthetase [EC:2.5.1.6]
* R7A2020_00140       K03820  124.33  411.0  3.4e-123 apolipoprotein N-acyltransferase [EC:2.3.1.269]
* R7A2020_00165       K07042   59.30  194.1   1.3e-57 probable rRNA maturation factor
* R7A2020_00170       K06217  215.90  488.9  6.4e-147 phosphate starvation-inducible protein PhoH and related proteins
* R7A2020_00175       K06168  457.10  639.9  1.3e-192 tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
* R7A2020_00180       K22617  268.53  299.9   7.4e-90 lyso-ornithine lipid O-acyltransferase [EC:2.3.1.270]
* R7A2020_00185       K03789  104.47  140.5   3.3e-41 [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
* R7A2020_00190       K14742   83.20  165.1     1e-48 tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
* R7A2020_00195       K09947  108.33  456.0  3.7e-137 uncharacterized protein
* R7A2020_00200       K07338  218.20  351.7  2.3e-105 uncharacterized protein
* R7A2020_00210       K03594   80.23  187.3   1.1e-55 bacterioferritin [EC:1.16.3.1]
* R7A2020_00220       K07231  161.80  533.7  1.6e-160 putative iron-regulated protein
* R7A2020_00225       K00529  394.23  488.9  6.3e-147 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
* R7A2020_00230       K00823  609.60  662.6  1.8e-199 4-aminobutyrate aminotransferase [EC:2.6.1.19]
* R7A2020_00230       K07250  609.07  661.5  2.6e-199 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
* R7A2020_00235       K21136  399.83  472.6  2.5e-142 membrane fusion protein, multidrug efflux system
* R7A2020_00240       K21137  348.33  379.8  6.9e-114 membrane fusion protein, multidrug efflux system
* R7A2020_00245       K21134 1317.13 1476.3         0 multidrug efflux pump
* R7A2020_00255       K02031  418.00  423.5  7.1e-127 peptide/nickel transport system ATP-binding protein
* R7A2020_00260       K02034  190.03  376.7    7e-113 peptide/nickel transport system permease protein
* R7A2020_00265       K02033  209.53  356.4  8.9e-107 peptide/nickel transport system permease protein
* R7A2020_00270       K02035  240.93  351.1  4.3e-105 peptide/nickel transport system substrate-binding protein
* R7A2020_00275       K08305   95.10  327.4   5.5e-98 membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]
* R7A2020_00280       K06187   74.03  306.5   1.2e-91 recombination protein RecR
* R7A2020_00285       K01449   45.13   65.9   1.4e-18 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
* R7A2020_00295       K09747   24.73  124.3   2.1e-36 uncharacterized protein
* R7A2020_00300       K02343  237.03  563.4  2.3e-169 DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
* R7A2020_00315       K03426  138.57  341.8  2.2e-102 NAD+ diphosphatase [EC:3.6.1.22]
* R7A2020_00325       K04518  254.40  374.4  2.3e-112 prephenate dehydratase [EC:4.2.1.51]
* R7A2020_00330       K00979  201.23  364.0  3.5e-109 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
* R7A2020_00335       K08738   55.10  131.4   1.7e-38 cytochrome c
* R7A2020_00340       K13893  750.20  833.7  4.3e-251 microcin C transport system substrate-binding protein
* R7A2020_00345       K13893  750.20  773.2  8.1e-233 microcin C transport system substrate-binding protein
* R7A2020_00350       K13894  392.33  625.0  2.3e-188 microcin C transport system permease protein
* R7A2020_00350       K02033  209.53  319.0   2.1e-95 peptide/nickel transport system permease protein
* R7A2020_00355       K13895  350.43  559.3  8.6e-169 microcin C transport system permease protein
* R7A2020_00355       K02034  190.03  249.9   1.8e-74 peptide/nickel transport system permease protein
* R7A2020_00360       K13896  795.17  900.4  1.7e-271 microcin C transport system ATP-binding protein
* R7A2020_00360       K02031  418.00  814.0  5.3e-245 peptide/nickel transport system ATP-binding protein
* R7A2020_00360       K02032  384.37  783.5  6.4e-236 peptide/nickel transport system ATP-binding protein
* R7A2020_00365       K12972  307.57  375.3  9.8e-113 glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
* R7A2020_00385       K07577  234.47  481.6    8e-145 putative mRNA 3-end processing factor
* R7A2020_00390       K10747  352.53  390.4  8.5e-117 DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]
* R7A2020_00415       K03088   66.33  143.8   3.2e-42 RNA polymerase sigma-70 factor, ECF subfamily
* R7A2020_00445       K05939  402.47 1465.3         0 acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]
* R7A2020_00450       K00180  130.70  242.0   2.1e-72 indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
* R7A2020_00455       K00179  435.27  617.8  6.7e-186 indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
* R7A2020_00470       K01475  320.63  488.1  1.5e-147 isatin hydrolase [EC:3.5.2.20]
* R7A2020_00480       K02035  240.93  318.2   3.8e-95 peptide/nickel transport system substrate-binding protein
* R7A2020_00485       K02033  209.53  332.0   2.3e-99 peptide/nickel transport system permease protein
* R7A2020_00490       K02034  190.03  302.8   1.7e-90 peptide/nickel transport system permease protein
* R7A2020_00510       K09461  424.13 1285.1         0 anthraniloyl-CoA monooxygenase [EC:1.14.13.40]
* R7A2020_00530       K00249  298.80  376.0  1.3e-112 acyl-CoA dehydrogenase [EC:1.3.8.7]
* R7A2020_00535       K09022   77.73   92.1   1.6e-26 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
* R7A2020_00540       K17228  348.60  426.1  4.5e-128 dimethylsulfone monooxygenase [EC:1.14.14.35]
* R7A2020_00545       K02510  128.77  292.4   2.1e-87 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]
* R7A2020_00550       K02030   84.53  164.1   1.5e-48 polar amino acid transport system substrate-binding protein
* R7A2020_00555       K02029  219.70  254.7   6.9e-76 polar amino acid transport system permease protein
* R7A2020_00565       K02032  384.37  406.1    1e-121 peptide/nickel transport system ATP-binding protein
* R7A2020_00570       K02031  418.00  441.9    2e-132 peptide/nickel transport system ATP-binding protein
* R7A2020_00575       K12370  405.87  501.2  2.8e-151 dipeptide transport system permease protein
* R7A2020_00575       K02034  190.03  378.7  1.7e-113 peptide/nickel transport system permease protein
* R7A2020_00580       K12369  483.27  520.5  5.9e-157 dipeptide transport system permease protein
* R7A2020_00580       K02033  209.53  399.6    7e-120 peptide/nickel transport system permease protein
* R7A2020_00585       K12368  684.53  840.6  1.8e-253 dipeptide transport system substrate-binding protein
* R7A2020_00585       K02035  240.93  392.2  1.6e-117 peptide/nickel transport system substrate-binding protein
* R7A2020_00590       K01897  449.77  493.0  5.6e-148 long-chain acyl-CoA synthetase [EC:6.2.1.3]
* R7A2020_00595       K22843  125.63  159.4   4.5e-47 ETFB lysine methyltransferase [EC:2.1.1.-]
* R7A2020_00600       K01091  118.63  146.1   5.5e-43 phosphoglycolate phosphatase [EC:3.1.3.18]
* R7A2020_00605       K01810  186.67  822.8  9.9e-248 glucose-6-phosphate isomerase [EC:5.3.1.9]
* R7A2020_00610       K00375  397.60  461.4  1.8e-138 GntR family transcriptional regulator / MocR family aminotransferase
* R7A2020_00615       K14083   91.47  404.2  3.4e-121 trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]
* R7A2020_00625       K07240   52.40  127.7   1.9e-37 chromate transporter
* R7A2020_00640       K09386  148.87  211.4   6.6e-63 uncharacterized protein
* R7A2020_00645       K03593  117.87  520.3  2.1e-156 ATP-binding protein involved in chromosome partitioning
* R7A2020_00675       K00123  815.07  951.2  1.6e-286 formate dehydrogenase major subunit [EC:1.17.1.9]
* R7A2020_00680       K02379  151.27  301.9     3e-90 FdhD protein
* R7A2020_00685       K00126   53.03  112.1   8.6e-33 formate dehydrogenase subunit delta [EC:1.17.1.9]
* R7A2020_00695       K01607   16.23   35.2   3.3e-09 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]
* R7A2020_00710       K00137  675.37  815.8    3e-246 aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
* R7A2020_00725       K02052  491.23  498.1    2e-149 putative spermidine/putrescine transport system ATP-binding protein
* R7A2020_00725       K10822  138.23  151.3   9.4e-45 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_00730       K02055  221.97  245.7   4.2e-73 putative spermidine/putrescine transport system substrate-binding protein
* R7A2020_00750       K03975   63.03   84.3   3.1e-24 membrane-associated protein
* R7A2020_00755       K00570  102.70  195.0   6.4e-58 phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
* R7A2020_00770       K02444  266.63  304.2   3.4e-91 DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
* R7A2020_00775       K07251  104.37  131.6   1.2e-38 thiamine kinase [EC:2.7.1.89]
* R7A2020_00780       K00314  770.70  977.0  2.7e-294 sarcosine dehydrogenase [EC:1.5.8.3]
* R7A2020_00780       K00303  311.43  324.1   4.9e-97 sarcosine oxidase, subunit beta [EC:1.5.3.1]
* R7A2020_00790       K07251  104.37  119.1   7.4e-35 thiamine kinase [EC:2.7.1.89]
* R7A2020_00800       K15270  177.50  294.3     3e-88 S-adenosylmethionine uptake transporter
* R7A2020_00805       K01485  150.43  480.6  1.9e-144 cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
* R7A2020_00815       K01687  648.43  908.6  1.2e-273 dihydroxy-acid dehydratase [EC:4.2.1.9]
* R7A2020_00835       K02837  521.33  765.4  8.7e-231 peptide chain release factor 3
* R7A2020_00840       K01563  226.93  256.9   1.6e-76 haloalkane dehalogenase [EC:3.8.1.5]
* R7A2020_00845       K16137  116.90  179.3   6.4e-53 TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
* R7A2020_00855       K01426  221.77  372.5  1.7e-111 amidase [EC:3.5.1.4]
* R7A2020_00860       K18802  186.13  230.3   1.1e-68 glutamine amidotransferase
* R7A2020_00870       K05800  196.37  231.0   2.4e-69 Lrp/AsnC family transcriptional regulator
* R7A2020_00870       K03719  132.03  183.5   1.6e-54 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* R7A2020_00875       K01520   59.50  192.1   4.8e-57 dUTP pyrophosphatase [EC:3.6.1.23]
* R7A2020_00895       K06203   54.50  133.3   3.7e-39 CysZ protein
* R7A2020_00905       K00856  136.83  160.9   1.4e-47 adenosine kinase [EC:2.7.1.20]
* R7A2020_00920       K00029  313.97  332.5   1.5e-99 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
* R7A2020_00925       K03555  679.73 1030.6         0 DNA mismatch repair protein MutS
* R7A2020_00940       K17686  801.83  993.1  5.5e-299 P-type Cu+ transporter [EC:7.2.2.8]
* R7A2020_00940       K01533  733.53  853.4  6.7e-257 P-type Cu2+ transporter [EC:7.2.2.9]
* R7A2020_00945       K07270   64.10  173.3   2.8e-51 glycosyl transferase, family 25
* R7A2020_00950       K00990  162.97 1014.6         0 [protein-PII] uridylyltransferase [EC:2.7.7.59]
* R7A2020_00955       K03980  220.53  434.6  2.5e-130 putative peptidoglycan lipid II flippase
* R7A2020_00970       K01867  153.03  429.8  6.4e-129 tryptophanyl-tRNA synthetase [EC:6.1.1.2]
* R7A2020_00980       K22074   92.27  267.7   5.1e-80 NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
* R7A2020_00990       K19591  152.60  196.3   3.4e-58 MerR family transcriptional regulator, copper efflux regulator
* R7A2020_01015       K03313   76.17  560.8  9.6e-169 Na+:H+ antiporter, NhaA family
* R7A2020_01020       K15012  141.87  292.8   7.2e-88 two-component system, response regulator RegA
* R7A2020_01025       K15011  205.03  492.5  4.5e-148 two-component system, sensor histidine kinase RegB [EC:2.7.13.3]
* R7A2020_01030       K03579  594.80 1097.7         0 ATP-dependent helicase HrpB [EC:3.6.4.13]
* R7A2020_01035       K15270  177.50  243.0   1.3e-72 S-adenosylmethionine uptake transporter
* R7A2020_01040       K01463  156.47  180.6   1.7e-53 N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
* R7A2020_01050       K02025  267.83  291.3   3.7e-87 multiple sugar transport system permease protein
* R7A2020_01075       K00863  550.07  655.2  5.5e-197 triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
* R7A2020_01080       K05879  193.67  225.5   3.2e-67 phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]
* R7A2020_01085       K05881   78.47  143.0   3.1e-42 phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]
* R7A2020_01105       K05878  436.47  507.3  2.3e-152 phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]
* R7A2020_01110       K01908  804.73 1153.9         0 propionyl-CoA synthetase [EC:6.2.1.17]
* R7A2020_01115       K16568  108.80  131.3   1.7e-38 exopolysaccharide production protein ExoZ
* R7A2020_01125       K06893   59.03  111.3   3.2e-32 uncharacterized protein
* R7A2020_01130       K06988  153.00  164.6     1e-48 8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
* R7A2020_01150       K16554  453.40  542.7  6.7e-163 polysaccharide biosynthesis transport protein
* R7A2020_01155       K00963  102.90  162.2   7.6e-48 UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
* R7A2020_01160       K16555  276.60  393.2  6.8e-118 succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]
* R7A2020_01165       K16556  205.27  350.4    4e-105 succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]
* R7A2020_01170       K16557  249.80  397.4  1.7e-119 succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]
* R7A2020_01175       K16558  194.83  526.2  1.2e-158 succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]
* R7A2020_01180       K03328  259.43  388.4  1.8e-116 polysaccharide transporter, PST family
* R7A2020_01205       K00012  364.33  661.5  9.1e-199 UDPglucose 6-dehydrogenase [EC:1.1.1.22]
* R7A2020_01210       K16559  150.60  367.5  2.4e-110 endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]
* R7A2020_01220       K16564  304.90  489.1  2.4e-147 succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]
* R7A2020_01245       K01953  101.93  388.2  3.3e-116 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
* R7A2020_01260       K16565   35.87   82.5   9.1e-24 exopolysaccharide production repressor protein
* R7A2020_01265       K16566  302.23  339.6    3e-102 exopolysaccharide production protein ExoY
* R7A2020_01270       K16552  324.00  496.8  2.1e-149 polysaccharide biosynthesis/export protein ExoF
* R7A2020_01270       K01991   73.00  114.2   2.5e-33 polysaccharide biosynthesis/export protein
* R7A2020_01275       K16567  140.33  238.8   3.7e-71 exopolysaccharide production protein ExoQ
* R7A2020_01285       K10856   36.63  263.9   1.9e-79 acetone carboxylase, gamma subunit [EC:6.4.1.6]
* R7A2020_01290       K10854  630.73 1005.8  3.5e-303 acetone carboxylase, alpha subunit [EC:6.4.1.6]
* R7A2020_01295       K10855  845.30 1056.4         0 acetone carboxylase, beta subunit [EC:6.4.1.6]
* R7A2020_01295       K10701  162.25  167.3   1.9e-49 acetophenone carboxylase [EC:6.4.1.8]
* R7A2020_01305       K21883  280.10  364.2    1e-109 2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+) [EC:1.1.1.401]
* R7A2020_01315       K00520  473.73  477.9  1.6e-143 mercuric reductase [EC:1.16.1.1]
* R7A2020_01320       K21001  262.70  273.8   1.2e-81 polysaccharide biosynthesis protein PslH
* R7A2020_01325       K09702   64.00  214.5   6.5e-64 uncharacterized protein
* R7A2020_01330       K22187  552.23  712.8    6e-215 alpha-ketoglutaric semialdehyde dehydrogenase [EC:1.2.1.-]
* R7A2020_01340       K00303  311.43  411.1    2e-123 sarcosine oxidase, subunit beta [EC:1.5.3.1]
* R7A2020_01365       K00299  105.60  181.3   8.2e-54 FMN reductase [EC:1.5.1.38]
* R7A2020_01375       K01996  300.07  330.9     3e-99 branched-chain amino acid transport system ATP-binding protein
* R7A2020_01375       K10822  138.23  153.3   2.3e-45 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_01385       K01998  253.67  260.0   1.6e-77 branched-chain amino acid transport system permease protein
* R7A2020_01390       K01997  145.03  258.2   4.3e-77 branched-chain amino acid transport system permease protein
* R7A2020_01395       K01995  308.13  367.3  4.8e-110 branched-chain amino acid transport system ATP-binding protein
* R7A2020_01395       K10822  138.23  204.2   6.4e-61 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_01400       K17228  348.60  539.9  1.3e-162 dimethylsulfone monooxygenase [EC:1.14.14.35]
* R7A2020_01410       K04091  325.03  602.9  1.3e-181 alkanesulfonate monooxygenase [EC:1.14.14.5]
* R7A2020_01425       K00800  136.73  404.8  2.6e-121 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
* R7A2020_01430       K00945   44.10  248.8   2.7e-74 CMP/dCMP kinase [EC:2.7.4.25]
* R7A2020_01435       K02945  149.40  531.9    9e-160 small subunit ribosomal protein S1
* R7A2020_01450       K01652  458.50  503.6    3e-151 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
* R7A2020_01455       K02167  123.50  197.0   1.5e-58 TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes
* R7A2020_01465       K10021  431.10  442.1  1.5e-133 octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]
* R7A2020_01465       K02028  368.47  423.8  3.2e-127 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* R7A2020_01465       K10822  138.23  147.6   1.3e-43 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* R7A2020_01470       K02030   84.53  154.1   1.7e-45 polar amino acid transport system substrate-binding protein
* R7A2020_01485       K16844  365.37  418.4  7.8e-126 (2R)-3-sulfolactate dehydrogenase (NADP+) [EC:1.1.1.338]
* R7A2020_01495       K18199  152.00  152.8   3.7e-45 cyclohexyl-isocyanide hydratase [EC:4.2.1.103]
* R7A2020_01505       K03953  230.03  260.7   9.8e-78 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9
* R7A2020_01525       K02470  958.37 1027.0         0 DNA gyrase subunit B [EC:5.6.2.2]
* R7A2020_01535       K00325  606.33  721.8  3.7e-217 H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
* R7A2020_01545       K00324  399.03  547.8  1.2e-164 H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
* R7A2020_01570       K21023  318.10  500.2  4.8e-150 diguanylate cyclase [EC:2.7.7.65]
* R7A2020_01575       K04090  624.87 1719.3         0 indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
* R7A2020_01590       K01997  145.03  189.7   2.5e-56 branched-chain amino acid transport system permease protein
* R7A2020_01600       K11690  162.67  169.3   3.6e-50 C4-dicarboxylate transporter, DctM subunit
* R7A2020_01615       K21395  128.00  149.3   5.2e-44 TRAP-type transport system periplasmic protein
* R7A2020_01620       K07010  125.60  267.3   7.3e-80 putative glutamine amidotransferase
* R7A2020_01640       K02529  266.77  302.8   1.7e-90 LacI family transcriptional regulator
* R7A2020_01645       K15270  177.50  222.9   1.7e-66 S-adenosylmethionine uptake transporter
* R7A2020_01665       K02234  255.40  270.0     1e-80 cobalamin biosynthesis protein CobW
* R7A2020_01670       K01521   49.47  207.8   8.3e-62 CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26]
* R7A2020_01700       K01845  306.63  357.1  6.3e-107 glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
* R7A2020_01705       K01915   40.23  278.6   3.4e-83 glutamine synthetase [EC:6.3.1.2]
* R7A2020_01710       K21929   39.23  230.9     1e-68 uracil-DNA glycosylase [EC:3.2.2.27]
* R7A2020_01715       K11529  179.07  574.4  1.2e-172 glycerate 2-kinase [EC:2.7.1.165]
* R7A2020_01725       K01487  305.70  459.0  1.4e-137 guanine deaminase [EC:3.5.4.3]
* R7A2020_01745       K24116  547.37  583.9  6.5e-176 N-acetyl-S-(2-succino)cysteine monooxygenase [EC:1.14.-.-]
* R7A2020_01750       K07402   71.37  222.6   3.9e-66 xanthine dehydrogenase accessory factor
* R7A2020_01755       K13482 1084.77 1330.8         0 xanthine dehydrogenase large subunit [EC:1.17.1.4]
* R7A2020_01760       K13481  441.60  729.9    1e-219 xanthine dehydrogenase small subunit [EC:1.17.1.4]
* R7A2020_01765       K07127  106.20  162.0   7.3e-48 5-hydroxyisourate hydrolase [EC:3.5.2.17]
* R7A2020_01770       K16842  204.77  373.1  2.3e-112 allantoinase [EC:3.5.2.5]
* R7A2020_01770       K13485  183.37  193.6   1.2e-57 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
* R7A2020_01775       K14977   68.37  424.4  1.2e-127 (S)-ureidoglycine aminohydrolase [EC:3.5.3.26]
* R7A2020_01780       K01483   30.83  200.8   6.9e-60 ureidoglycolate lyase [EC:4.3.2.3]
* R7A2020_01790       K06978  241.57  475.0  1.7e-142 uncharacterized protein
* R7A2020_01795       K02035  240.93  272.5   2.5e-81 peptide/nickel transport system substrate-binding protein
* R7A2020_01800       K02033  209.53  363.5  6.6e-109 peptide/nickel transport system permease protein
* R7A2020_01805       K02034  190.03  298.9   2.6e-89 peptide/nickel transport system permease protein
* R7A2020_01810       K02032  384.37  639.7  2.1e-192 peptide/nickel transport system ATP-binding protein
* R7A2020_01810       K02031  418.00  626.9  2.2e-188 peptide/nickel transport system ATP-binding protein
* R7A2020_01815       K02035  240.93  269.6     2e-80 peptide/nickel transport system substrate-binding protein
* R7A2020_01830       K03088   66.33  147.7     2e-43 RNA polymerase sigma-70 factor, ECF subfamily
* R7A2020_01845       K02529  266.77  271.2   6.6e-81 LacI family transcriptional regulator
* R7A2020_01850       K10232  238.90  564.5  9.9e-170 alpha-glucoside transport system substrate-binding protein
* R7A2020_01855       K10233  341.47  505.5  4.3e-152 alpha-glucoside transport system permease protein
* R7A2020_01860       K10234  284.03  431.3  5.9e-130 alpha-glucoside transport system permease protein
* R7A2020_01865       K01187  254.37  276.9   1.5e-82 alpha-glucosidase [EC:3.2.1.20]
* R7A2020_01870       K10235  555.53  646.4  3.5e-195 alpha-glucoside transport system ATP-binding protein
* R7A2020_01870       K10111  528.23  549.4  1.6e-165 multiple sugar transport system ATP-binding protein [EC:3.6.3.-]
* R7A2020_01890       K00479  297.23  515.1  4.6e-155 glycine betaine catabolism A
* R7A2020_01895       K21832  461.37  472.6  5.4e-142 glycine betaine catabolism B
* R7A2020_01900       K03919  174.40  299.0     1e-89 DNA oxidative demethylase [EC:1.14.11.33]
* R7A2020_01905       K15034  133.50  194.3   5.6e-58 ribosome-associated protein
* R7A2020_01910       K01610  130.17  813.3  6.9e-245 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
* R7A2020_01915       K14981  256.77  376.0  5.3e-113 two-component system, OmpR family, response regulator ChvI
* R7A2020_01915       K02483  242.13  248.2   4.8e-74 two-component system, OmpR family, response regulator
* R7A2020_01920       K14980  291.13  685.4  2.3e-206 two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]
* R7A2020_01925       K06023   62.50   74.3   4.3e-21 HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
* R7A2020_01930       K02793  109.77  161.5   9.5e-48 mannose PTS system EIIA component [EC:2.7.1.191]
* R7A2020_01935       K02784   90.53  111.7   1.2e-32 phosphocarrier protein HPr
* R7A2020_01940       K01251   75.80  744.4  1.9e-224 adenosylhomocysteinase [EC:3.3.1.1]
* R7A2020_01950       K07102  145.80  480.7  2.2e-144 N-acetylmuramate 1-kinase [EC:2.7.1.221]
* R7A2020_01950       K06925   62.53  158.6   6.8e-47 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
* R7A2020_01955       K00992  187.00  242.3   2.2e-72 N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
* R7A2020_01960       K16899  219.57  494.5    3e-148 ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]
* R7A2020_01965       K16898  471.00  770.5  1.4e-231 ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]
* R7A2020_01970       K03671  109.53  154.8   1.6e-45 thioredoxin 1
* R7A2020_01975       K21700   50.90  123.0   3.4e-36 beta-alanine degradation protein BauB
* R7A2020_01985       K07062   98.97  117.9   1.8e-34 toxin FitB [EC:3.1.-.-]
* R7A2020_01990       K08234   87.93   88.0   2.6e-25 glyoxylase I family protein
* R7A2020_01990       K01759   77.40   81.3   2.9e-23 lactoylglutathione lyase [EC:4.4.1.5]
* R7A2020_01995       K11754  367.97  415.7  1.5e-124 dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
* R7A2020_02000       K01963  334.13  411.7  9.6e-124 acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
