locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0,rhizo.state,GIFU.state,NFR5.state,COL0.state,ICE.state,invitro.state,TB.state,TY.state,GR.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,DESeq2.LRT,ICESym.DESeq2.LRT,ICESym,WT1.INPUT.norm,WT3.INPUT.norm,NS1.INPUT.norm,NS3.INPUT.nrom,WT1.NFR5.norm,WT3.NFR5.norm,NS1.NFR5.norm,NS3.NFR5.norm,WT1.GIFU.norm,WT3.GIFU.norm,NS1.GIFU.norm,NS3.GIFU.norm,WT1.COL0.norm,WT3.COL0.norm,NS1.COL0.norm,NS3.COL0.norm,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Chrom.cluster,ICESym.cluster
R7A2020_00055,0,0,0,0,0,0,0,0,0,0,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,I,beta-ketoacyl-ACP synthase I,K00647,3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],fabB,IQ,Belongs to the beta-ketoacyl-ACP synthases family,fabB,8903,10123,1221,1,FALSE,FALSE,FALSE,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00060,0.073,0.085,0.035,0.026,0.038,0.075,0.095,0.032,0.039,0.042,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,enoyl-ACP reductase FabI,K00208,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],fabI,I,Enoyl- acyl-carrier-protein reductase NADH,fabI,10155,10958,804,1,TRUE,FALSE,FALSE,1355.2,762.8,1117.4,662.9,398.1,167.9,526.8,560.9,783.6,311.3,407.6,671.8,3080.0,323.5,920.4,472.3,785.027,-1.312,0.799,13.427,0.062,0.398,NA,NA
R7A2020_00065,0.062,0.095,0.049,0.046,0.045,0.072,0.11,0.059,0.061,0.045,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,bifunctional diguanylate cyclase/phosphodiesterase,K21023,diguanylate cyclase [EC:2.7.7.65],NA,T,Putative diguanylate phosphodiesterase,R7A2020_00065,11114,12658,1545,1,TRUE,FALSE,FALSE,1999.0,1951.2,1676.7,2562.4,2066.2,1773.7,2155.8,3463.9,1959.9,4045.2,2812.7,2720.0,2347.0,1273.9,1430.8,2705.1,2312.652,-0.122,0.444,5.715,0.573,0.878,NA,NA
R7A2020_00070,0.066,0.107,0.053,0.059,0.047,0.078,0.122,0.063,0.066,0.049,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,class I SAM-dependent methyltransferase,K00564,16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172],rsmC,J,methyltransferase small,R7A2020_00070,12664,13674,1011,-1,TRUE,FALSE,FALSE,693.2,2256.1,2330.2,1688.1,2632.8,1614.7,1344.6,1240.6,1310.0,1303.0,2132.2,2191.4,3383.2,1427.3,2029.1,1296.2,1808.205,0.340,0.518,6.250,0.511,0.848,NA,NA
R7A2020_00075,0.001,0,0,0,0,0.002,0.001,0,0,0.001,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,J,polyribonucleotide nucleotidyltransferase,K00962,polyribonucleotide nucleotidyltransferase [EC:2.7.7.8],pnp,J,Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction,pnp,13800,15947,2148,-1,FALSE,FALSE,FALSE,112.9,0.0,7.8,13.3,0.0,0.0,1.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,108.4,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00080,0,0.009,0,0.004,0.009,0.004,0.009,0.004,0.004,0.004,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,J,30S ribosomal protein S15,K02956,small subunit ribosomal protein S15,rpsO,J,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome,rpsO,16357,16626,270,-1,FALSE,FALSE,FALSE,0.0,1.0,0.0,13.3,5.2,0.0,4.0,0.0,0.0,0.0,0.0,51.6,4.1,8.4,0.0,18.7,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00085,0.074,0.107,0.057,0.054,0.044,0.07,0.105,0.057,0.04,0.034,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,magnesium/cobalt transporter CorA,K03284,magnesium transporter,corA,P,Mediates influx of magnesium ions,corA,16808,17902,1095,-1,TRUE,FALSE,FALSE,1685.6,1899.9,1572.2,1324.6,2342.2,1440.8,965.3,1057.6,1789.2,1600.3,2025.3,2356.7,1247.0,841.7,1042.3,969.6,1513.074,0.897,0.377,19.379,0.007,0.133,NA,NA
R7A2020_00090,0.059,0.073,0.03,0.044,0.028,0.05,0.101,0.047,0.052,0.036,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,tRNA pseudouridine(55) synthase TruB,K03177,tRNA pseudouridine55 synthase [EC:5.4.99.25],truB,J,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs,truB,17947,18924,978,-1,TRUE,FALSE,FALSE,1190.1,772.8,1172.3,1472.0,2037.8,497.8,1482.9,1383.0,747.5,1027.2,1563.1,1060.4,777.6,1270.7,2045.8,684.0,1201.635,-0.119,0.616,2.364,0.937,0.996,NA,NA
R7A2020_00095,0.072,0.08,0.023,0.031,0.044,0.062,0.093,0.039,0.046,0.033,NE,NE,NE,NE,NA,NE,NE,NE,GR-GD,J,30S ribosome-binding factor RbfA,K02834,ribosome-binding factor A,rbfA,J,One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA,rbfA,18924,19379,456,-1,TRUE,FALSE,FALSE,927.5,329.1,580.3,669.0,887.4,592.2,779.6,228.0,570.1,179.7,284.5,629.7,398.4,1215.7,355.6,105.5,547.066,1.669,0.854,5.999,0.540,0.864,NA,NA
R7A2020_00100,0,0,0,0,0,0,0,0,0,0,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,J,translation initiation factor IF-2,K02519,translation initiation factor IF-2,infB,J,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex,infB,19554,22136,2583,-1,FALSE,FALSE,FALSE,0.0,1.0,1.3,20.5,0.0,0.0,2.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00105,0.009,0.009,0.004,0.002,0.007,0.013,0.014,0.005,0.009,0.004,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,K,RNA-binding protein,K07742,uncharacterized protein,ylxR,K,Protein of unknown function (DUF448),R7A2020_00105,22133,22783,651,-1,FALSE,FALSE,FALSE,120.0,87.5,154.2,79.7,1.7,81.5,55.3,240.8,0.0,25.9,255.5,15.8,86.2,22.6,0.0,361.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00110,0.007,0.006,0.003,0.003,0.004,0.008,0.014,0.005,0.01,0.007,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,K,transcription termination/antitermination protein NusA,K02600,transcription termination/antitermination protein NusA,nusA,K,Participates in both transcription termination and antitermination,nusA,22822,24417,1596,-1,FALSE,FALSE,FALSE,136.9,305.9,554.1,467.3,290.6,72.5,281.8,600.5,231.2,15.5,59.2,632.9,297.1,29.1,330.5,535.4,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00115,0.007,0.009,0.002,0.004,0.004,0.009,0.005,0.005,0.005,0.002,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,J,ribosome maturation factor RimP,K09748,ribosome maturation factor RimP,rimP,S,Required for maturation of 30S ribosomal subunits,rimP,24467,25114,648,-1,FALSE,FALSE,FALSE,38.1,28.2,248.3,181.1,5.2,0.0,275.2,1.1,14.3,0.0,68.5,7.4,12.2,27.2,96.2,0.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00120,0.078,0.057,0.043,0.021,0.028,0.035,0.085,0.035,0.043,0.035,NE,NE,NE,NE,NA,NE,NE,NE,GR-ES,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00120,25401,25565,165,1,TRUE,FALSE,FALSE,216.0,221.4,48.4,108.7,23.2,4.0,181.7,119.9,29.4,221.1,15.1,148.5,9.1,114.5,190.7,14.4,104.484,-2.923,1.603,5.955,0.545,NA,NA,NA
R7A2020_00125,0.077,0.124,0.062,0.062,0.044,0.08,0.151,0.057,0.079,0.072,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,tRNA (guanosine(46)-N7)-methyltransferase TrmB,K03439,tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33],trmB,J,Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA,trmB,25589,26290,702,-1,TRUE,FALSE,FALSE,2291.2,1020.4,1547.3,962.4,906.3,1162.6,2001.7,706.5,1036.7,213.7,1233.3,983.5,350.8,882.5,2035.0,2020.4,1214.065,-0.985,0.672,11.186,0.131,0.542,NA,NA
R7A2020_00130,0,0,0,0,0,0,0,0,0,0,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,H,methionine adenosyltransferase,K00789,S-adenosylmethionine synthetase [EC:2.5.1.6],metK,H,"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme",R7A2020_00130,26316,27581,1266,-1,FALSE,FALSE,FALSE,1.4,1.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00135,0.02,0.042,0.028,0.014,0.006,0.025,0.059,0.017,0.014,0.031,NE,NE,NE,COL0-GD,NA,NE,NE,NE,NE,K,helix-turn-helix transcriptional regulator,NA,NA,MA20_23890,K,transcriptional,R7A2020_00135,27750,28169,420,-1,FALSE,FALSE,FALSE,101.6,35.2,65.3,170.3,43.0,16.9,21.1,138.1,272.4,228.5,65.0,163.2,11.2,1.9,594.1,44.5,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00140,0.049,0.069,0.028,0.025,0.026,0.048,0.074,0.025,0.026,0.033,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,apolipoprotein N-acyltransferase,K03820,apolipoprotein N-acyltransferase [EC:2.3.1.269],lnt,M,Transfers the fatty acyl group on membrane lipoproteins,lnt,28308,29900,1593,-1,TRUE,FALSE,FALSE,1744.9,1146.2,1210.2,904.4,887.4,1411.0,659.8,649.8,935.8,853.4,1247.3,517.0,474.5,1082.4,835.5,739.3,959.189,0.531,0.549,6.451,0.488,0.838,NA,NA
R7A2020_00145,0.103,0.143,0.07,0.063,0.066,0.078,0.134,0.067,0.066,0.057,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR substrate binding domain,R7A2020_00145,30081,31025,945,-1,TRUE,FALSE,FALSE,1822.5,1347.5,1480.7,2174.7,1114.4,2345.0,1525.0,1343.4,1870.8,1287.5,1463.3,2144.0,2532.6,2450.2,1137.3,582.1,1667.014,0.995,0.460,11.461,0.120,0.530,NA,NA
R7A2020_00150,0.093,0.127,0.069,0.066,0.057,0.102,0.139,0.077,0.068,0.056,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,SDR family oxidoreductase,NA,NA,NA,IQ,KR domain,R7A2020_00150,31126,31887,762,1,TRUE,FALSE,FALSE,2103.5,2051.9,2243.9,2097.5,2057.6,1313.6,1534.2,1355.2,1233.5,2481.8,2120.6,1869.1,1235.9,1558.6,1601.1,1150.5,1755.186,0.279,0.403,6.314,0.504,0.844,NA,NA
R7A2020_00155,0.085,0.125,0.07,0.06,0.052,0.082,0.127,0.07,0.067,0.055,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,glyoxalase,NA,NA,NA,S,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_00155,31913,32383,471,-1,TRUE,FALSE,FALSE,1019.3,557.5,1027.2,417.8,797.9,984.7,1266.9,459.2,913.1,687.0,780.4,689.7,217.0,1081.8,949.1,1253.1,820.806,-0.319,0.706,1.543,0.981,1.000,NA,NA
R7A2020_00160,0.093,0.101,0.052,0.055,0.045,0.104,0.134,0.067,0.077,0.05,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,HlyC/CorC family transporter,NA,NA,tlyC,S,COG1253 Hemolysins and related proteins containing CBS domains,R7A2020_00160,32397,33473,1077,-1,TRUE,FALSE,FALSE,1792.9,3383.2,3529.9,4687.6,1965.6,1500.4,1756.8,2284.3,1381.4,1643.2,2069.5,2342.0,2233.5,1959.8,1920.3,1996.0,2286.512,-0.190,0.361,23.325,0.001,0.059,NA,NA
R7A2020_00165,0.014,0.016,0.002,0.009,0.009,0.031,0.016,0.002,0.005,0.012,INPUT-GD-RE,INPUT-GD,INPUT-GD,INPUT-GD,NA,GD,TB-GD,TY-ES,GR-ES,J,rRNA maturation RNase YbeY,K07042,probable rRNA maturation factor,ybeY,J,Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA,ybeY,33501,34001,501,-1,FALSE,FALSE,FALSE,194.8,5.0,311.0,166.6,88.6,22.9,5.3,7.5,7.6,1.5,2.3,6.3,6.1,28.5,290.5,49.5,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00170,0.091,0.125,0.072,0.06,0.058,0.102,0.153,0.074,0.083,0.057,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,PhoH family protein,K06217,phosphate starvation-inducible protein PhoH and related proteins,phoH,T,Phosphate starvation-inducible protein PhoH,R7A2020_00170,34020,35069,1050,-1,TRUE,FALSE,FALSE,1814.1,2011.6,2280.5,2273.8,1479.8,1483.5,3127.7,2098.1,995.5,1692.0,2086.9,1789.1,806.0,2813.8,1229.4,2610.4,1917.411,-0.389,0.509,5.164,0.640,0.902,NA,NA
R7A2020_00175,0.082,0.135,0.076,0.066,0.06,0.098,0.127,0.066,0.056,0.055,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,K06168,tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3],miaB,J,"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine",miaB,35096,36505,1410,-1,TRUE,FALSE,FALSE,3097.3,2235.0,4240.8,4215.4,3673.2,2813.0,3247.6,1502.9,4182.2,3278.3,1987.0,2806.3,4642.4,1814.8,3761.1,3010.1,3164.213,-0.076,0.429,6.901,0.439,0.813,NA,NA
R7A2020_00180,0.059,0.081,0.038,0.037,0.04,0.072,0.104,0.053,0.048,0.043,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,1-acyl-sn-glycerol-3-phosphate acyltransferase,K22617,lyso-ornithine lipid O-acyltransferase [EC:2.3.1.270],plsC,I,Acyltransferase,R7A2020_00180,36582,37382,801,-1,TRUE,FALSE,FALSE,656.4,916.7,618.2,946.7,479.8,351.8,422.7,950.5,407.8,1167.0,1599.1,1467.9,197.7,1591.6,878.0,274.9,809.712,-0.484,0.794,6.683,0.463,0.828,NA,NA
R7A2020_00185,0.062,0.092,0.043,0.043,0.028,0.059,0.081,0.024,0.04,0.038,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,ribosomal protein S18-alanine N-acetyltransferase,K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],rimI,K,FR47-like protein,rimI,37410,37904,495,-1,TRUE,FALSE,FALSE,823.0,282.8,686.1,1323.4,710.2,213.6,518.9,458.1,496.1,260.3,257.8,301.2,307.2,152.0,381.9,808.9,500.951,-0.380,0.771,10.715,0.152,0.575,NA,NA
R7A2020_00190,0,0,0,0,0,0,0,0,0,0,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,O,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,K14742,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,yeaZ,O,Peptidase M22 glycoprotease,tsaB,37904,38581,678,-1,FALSE,FALSE,FALSE,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00195,0.072,0.113,0.061,0.062,0.045,0.068,0.117,0.054,0.064,0.048,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,DUF1513 domain-containing protein,K09947,uncharacterized protein,NA,S,Protein of unknown function (DUF1513),R7A2020_00195,38678,39781,1104,-1,TRUE,FALSE,FALSE,1428.7,2270.2,1864.9,1059.0,2821.1,983.7,2295.4,2677.2,1304.1,1523.4,2449.2,875.1,1548.1,1071.4,1993.2,743.6,1684.908,0.463,0.581,4.198,0.757,0.942,NA,NA
R7A2020_00200,0.062,0.107,0.059,0.047,0.056,0.063,0.1,0.041,0.057,0.041,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,peptidase M75,K07338,uncharacterized protein,IV02_02405,S,Imelysin,R7A2020_00200,39784,40863,1080,-1,TRUE,FALSE,FALSE,1696.9,1895.9,1973.4,818.7,1437.6,2586.5,1357.8,1345.5,1356.2,1112.2,1531.8,1618.5,1578.5,2237.3,1509.7,2819.2,1684.064,-0.120,0.468,5.612,0.586,0.883,NA,NA
R7A2020_00205,0.065,0.105,0.048,0.047,0.051,0.055,0.097,0.049,0.046,0.035,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,c-type cytochrome,NA,NA,NA,C,Thiol oxidoreductase,R7A2020_00205,40863,42464,1602,-1,TRUE,FALSE,FALSE,2274.3,2432.3,1855.8,1754.5,2111.8,4520.1,1734.4,1118.6,1307.5,2952.2,1760.6,2099.8,1171.0,1819.4,1497.7,1752.0,2013.980,1.015,0.452,11.433,0.121,0.531,NA,NA
R7A2020_00210,0.068,0.099,0.051,0.056,0.034,0.07,0.123,0.06,0.056,0.063,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,bacterioferritin,K03594,bacterioferritin [EC:1.16.3.1],bfr,P,"Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex",bfr,42477,42962,486,-1,TRUE,FALSE,FALSE,581.6,851.3,419.5,557.9,472.1,891.3,670.3,265.5,511.2,647.8,174.2,838.2,119.6,107.4,152.4,1410.3,543.504,-0.213,0.881,10.090,0.184,0.613,NA,NA
R7A2020_00215,0.109,0.132,0.06,0.056,0.06,0.049,0.098,0.064,0.049,0.03,NE,NE,NE,NE,NA,NE,NE,NE,WT-GR-ES,H,(2Fe-2S)-binding protein,NA,NA,bfd,P,"2 iron, 2 sulfur cluster binding",R7A2020_00215,42928,43239,312,-1,TRUE,FALSE,FALSE,508.2,822.2,335.9,374.3,415.3,111.3,620.3,589.8,816.4,1112.2,463.4,453.9,305.2,802.9,285.1,77.5,506.671,0.526,0.774,13.109,0.069,0.413,NA,NA
