locus_tag,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ICESym,NSTB_ii,NSGR_ii,NSTY_ii,WTTB_ii,WTGR_ii,WTTY_ii,TY_state,GR_state,TB_state,NS_ii,WT_ii,ES_state,ICE_state
R7A2020_00350,P,microcin C ABC transporter permease YejB,K13894,microcin C transport system permease protein,yejB,P,binding-protein-dependent transport systems inner membrane component,R7A2020_00350,73139,74233,1095,1,FALSE,0.036480687,0.049356223,0.063304721,0.026824034,0.036480687,0.037553648,NE,NE,NE,0.137339056,0.093347639,NE,NA
R7A2020_00355,NA,ABC transporter permease,K13895,microcin C transport system permease protein,yejE,P,transport system permease component,R7A2020_00355,74233,75378,1146,1,FALSE,0.033846154,0.060512821,0.056410256,0.038974359,0.038974359,0.041025641,NE,NE,NE,0.133333333,0.116923077,NE,NA
R7A2020_00360,NA,ABC transporter ATP-binding protein,K13896,microcin C transport system ATP-binding protein,yejF,P,Belongs to the ABC transporter superfamily,R7A2020_00360,75375,77006,1632,1,FALSE,0.032420749,0.074207493,0.064841499,0.045389049,0.040345821,0.05907781,NE,NE,NE,0.159221902,0.130403458,NE,NA
R7A2020_00365,NA,glyoxylate/hydroxypyruvate reductase A,K12972,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],ghrA,EH,2-hydroxyacid dehydrogenase,R7A2020_00365,77036,77977,942,1,FALSE,0.06866417,0.036204744,0.047440699,0.072409488,0.037453184,0.052434457,NE,NE,NE,0.148564295,0.179775281,NE,NA
R7A2020_00370,NA,AAA family ATPase,NA,NA,adk,F,AAA domain,R7A2020_00370,77986,78495,510,-1,FALSE,0.078341014,0.036866359,0.036866359,0.069124424,0.046082949,0.055299539,NE,NE,NE,0.142857143,0.161290323,NE,NA
R7A2020_00375,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00375,78583,78942,360,-1,FALSE,0.065359477,0.032679739,0.032679739,0.052287582,0.058823529,0.068627451,NE,NE,NE,0.140522876,0.163398693,NE,NA
R7A2020_00380,NA,class I SAM-dependent methyltransferase,NA,NA,MA20_22060,S,Methyltransferase,R7A2020_00380,79072,79989,918,-1,FALSE,0.097186701,0.043478261,0.05370844,0.079283887,0.047314578,0.056265985,NE,NE,NE,0.196930946,0.175191816,NE,NA
R7A2020_00385,NA,ligase-associated DNA damage response exonuclease,K07577,putative mRNA 3-end processing factor,MA20_22065,J,exonuclease of the beta-lactamase fold involved in RNA processing,R7A2020_00385,80141,81148,1008,1,FALSE,0.092074592,0.062937063,0.060606061,0.088578089,0.032634033,0.074592075,NE,NE,NE,0.20979021,0.203962704,NE,NA
R7A2020_00390,NA,cisplatin damage response ATP-dependent DNA ligase,K10747,DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7],lig,L,DNA ligase,R7A2020_00390,81153,82754,1602,1,FALSE,0.043318649,0.049192364,0.044787078,0.055066079,0.032305433,0.047723935,NE,NE,NE,0.141703377,0.132892805,NE,NA
R7A2020_00395,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00395,82759,83904,1146,-1,FALSE,0.081025641,0.04,0.04,0.070769231,0.034871795,0.045128205,NE,NE,NE,0.174358974,0.14974359,NE,NA
R7A2020_00400,J,NA,NA,NA,NA,NA,NA,R7A2020_00400,84193,84268,76,1,FALSE,0.015151515,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0.015151515,0,CORE-ES,NA
R7A2020_00405,NA,YodC family protein,NA,NA,NA,S,Uncharacterized small protein (DUF2158),R7A2020_00405,84419,84607,189,1,FALSE,0.074074074,0.043209877,0.037037037,0.055555556,0.018518519,0.030864198,NE,NE,NE,0.172839506,0.141975309,NE,NA
